"Time","q0","q1","q2","q3"
2025-10-30 10:40:16,-0.739,-0.606,-0.273,0.110
2025-10-30 10:40:18,-0.696,-0.557,-0.388,0.235
2025-10-30 10:40:22,-0.548,-0.399,-0.585,0.444
2025-10-30 10:40:24,-0.450,-0.297,-0.661,0.522
2025-10-30 10:40:34,0.121,0.304,-0.738,0.590
2025-10-30 10:40:39,0.320,0.525,-0.627,0.479
2025-10-30 10:40:40,0.401,0.620,-0.544,0.399
2025-10-30 10:40:42,0.467,0.700,-0.445,0.307
2025-10-30 10:40:44,0.515,0.764,-0.331,0.204
2025-10-30 10:40:46,0.543,0.809,-0.206,0.0945
2025-10-30 10:40:48,0.550,0.832,-0.0718,-0.0187
2025-10-30 10:40:52,0.497,0.808,0.205,-0.239
2025-10-30 10:40:54,0.439,0.761,0.339,-0.337
2025-10-30 10:40:56,0.361,0.690,0.464,-0.422
2025-10-30 10:41:02,0.0486,0.371,0.738,-0.562
2025-10-30 10:41:06,-0.0681,0.242,0.786,-0.564
2025-10-30 10:41:08,-0.290,-0.0163,0.815,-0.502
2025-10-30 10:41:10,-0.390,-0.143,0.795,-0.442
2025-10-30 10:41:12,-0.478,-0.260,0.755,-0.365
2025-10-30 10:41:14,-0.552,-0.364,0.698,-0.276
2025-10-30 10:41:16,-0.610,-0.454,0.626,-0.175
2025-10-30 10:41:18,-0.650,-0.530,0.541,-0.0656
2025-10-30 10:41:24,-0.655,-0.657,0.244,0.284
2025-10-30 10:41:38,-0.0648,-0.403,-0.363,0.837
2025-10-30 10:41:54,0.832,0.205,-0.294,0.423
2025-10-30 10:41:56,0.890,0.249,-0.230,0.306
2025-10-30 10:42:02,0.952,0.301,-0.00762,-0.0586
2025-10-30 10:42:04,0.938,0.292,0.0679,-0.173
2025-10-30 10:42:06,0.910,0.273,0.141,-0.280
2025-10-30 10:42:08,0.869,0.243,0.210,-0.377
2025-10-30 10:42:10,0.818,0.205,0.273,-0.464
2025-10-30 10:42:12,0.758,0.160,0.330,-0.539
2025-10-30 10:42:14,0.694,0.110,0.380,-0.602
2025-10-30 10:42:16,0.626,0.0555,0.424,-0.652
2025-10-30 10:42:18,0.999,-0.0200,0.00619,-0.0471
2025-10-30 10:42:20,0.989,-0.0606,0.0156,-0.137
2025-10-30 10:42:22,0.970,-0.102,0.0212,-0.220
2025-10-30 10:42:24,0.944,-0.144,0.0236,-0.295
2025-10-30 10:42:26,0.913,-0.185,0.0229,-0.364
2025-10-30 10:42:32,0.792,-0.304,0.00743,-0.530
2025-10-30 10:42:34,0.745,-0.341,-0.00175,-0.573
2025-10-30 10:42:36,0.697,-0.378,-0.0126,-0.609
2025-10-30 10:42:38,0.648,-0.413,-0.0245,-0.640
2025-10-30 10:42:40,0.597,-0.447,-0.0373,-0.665
2025-10-30 10:42:42,0.547,-0.480,-0.0506,-0.684
2025-10-30 10:42:44,0.497,-0.511,-0.0642,-0.698
2025-10-30 10:42:46,0.447,-0.541,-0.0782,-0.708
2025-10-30 10:42:48,0.398,-0.570,-0.0922,-0.713
2025-10-30 10:42:50,0.349,-0.598,-0.107,-0.713
2025-10-30 10:42:52,0.302,-0.625,-0.122,-0.710
2025-10-30 10:42:54,0.256,-0.650,-0.137,-0.703
2025-10-30 10:42:56,0.211,-0.674,-0.152,-0.692
2025-10-30 10:43:04,0.0438,-0.755,-0.210,-0.619
2025-10-30 10:43:06,0.00553,-0.772,-0.224,-0.595
2025-10-30 10:43:08,-0.0314,-0.787,-0.239,-0.568
2025-10-30 10:43:10,-0.0667,-0.801,-0.253,-0.538
2025-10-30 10:43:12,-0.101,-0.813,-0.267,-0.507
2025-10-30 10:43:14,-0.133,-0.824,-0.281,-0.474
2025-10-30 10:43:16,-0.164,-0.833,-0.295,-0.439
2025-10-30 10:43:18,-0.193,-0.840,-0.309,-0.402
2025-10-30 10:43:20,-0.220,-0.846,-0.324,-0.363
2025-10-30 10:43:22,-0.245,-0.849,-0.339,-0.322
2025-10-30 10:43:24,-0.268,-0.851,-0.354,-0.280
2025-10-30 10:43:26,-0.288,-0.851,-0.370,-0.236
2025-10-30 10:43:28,-0.307,-0.849,-0.385,-0.191
2025-10-30 10:43:30,-0.324,-0.845,-0.400,-0.145
2025-10-30 10:43:32,-0.338,-0.841,-0.411,-0.0991
2025-10-30 10:43:34,-0.350,-0.835,-0.422,-0.0523
2025-10-30 10:43:39,-0.368,-0.816,-0.443,0.0486
2025-10-30 10:43:41,-0.383,-0.799,-0.452,0.106
2025-10-30 10:43:44,-0.405,-0.772,-0.460,0.168
2025-10-30 10:43:45,-0.436,-0.728,-0.472,0.240
2025-10-30 10:43:47,-0.471,-0.659,-0.493,0.317
2025-10-30 10:43:50,-0.516,-0.585,-0.495,0.382
2025-10-30 10:43:52,-0.567,-0.496,-0.492,0.437
2025-10-30 10:43:54,-0.627,-0.397,-0.476,0.471
2025-10-30 10:43:56,-0.704,-0.294,-0.444,0.470
2025-10-30 10:44:01,-0.882,-0.104,-0.326,0.324
2025-10-30 10:44:04,-0.956,-0.0362,-0.236,0.171
2025-10-30 10:44:05,-0.990,0.0239,-0.140,0.0174
2025-10-30 10:44:08,-0.989,0.0705,-0.0558,-0.119
2025-10-30 10:44:10,-0.968,0.102,0.0141,-0.227
2025-10-30 10:44:12,-0.945,0.118,0.0704,-0.298
2025-10-30 10:44:14,-0.934,0.119,0.118,-0.316
2025-10-30 10:44:16,-0.936,0.109,0.155,-0.296
2025-10-30 10:44:18,-0.941,0.0980,0.182,-0.269
2025-10-30 10:44:20,-0.946,0.0851,0.197,-0.241
2025-10-30 10:44:22,-0.954,0.0667,0.200,-0.211
2025-10-30 10:44:24,-0.969,0.0343,0.194,-0.147
2025-10-30 10:44:26,-0.983,-0.00830,0.179,-0.0399
2025-10-30 10:44:28,-0.985,-0.0323,0.157,0.0580
2025-10-30 10:44:30,-0.983,-0.0368,0.129,0.126
2025-10-30 10:44:32,-0.979,-0.0247,0.104,0.173
2025-10-30 10:44:34,-0.974,0.00193,0.0762,0.215
