"Time","X","Y","Z"
2025-10-30 10:40:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:18,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:22,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:24,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:34,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:39,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:40,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:42,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:44,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:46,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:48,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:52,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:54,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:40:56,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:02,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:06,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:08,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:10,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:14,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:18,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:24,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:38,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:54,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:41:56,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:02,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:04,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:06,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:08,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:10,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:14,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:18,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:20,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:22,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:24,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:26,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:32,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:34,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:36,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:38,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:40,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:42,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:44,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:46,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:48,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:50,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:52,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:54,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:42:56,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:04,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:06,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:08,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:10,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:14,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:18,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:20,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:22,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:24,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:26,0 RPM/s,0 RPM/s,0 RPM/s
2025-10-30 10:43:28,-100 RPM/s,-100 RPM/s,-21.8 RPM/s
2025-10-30 10:43:30,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:32,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:34,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:39,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:41,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:44,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:45,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:47,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:50,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:52,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:54,-100 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:43:56,-85.7 RPM/s,-100 RPM/s,100 RPM/s
2025-10-30 10:44:01,100 RPM/s,-88.9 RPM/s,100 RPM/s
2025-10-30 10:44:04,100 RPM/s,-22.9 RPM/s,-71.6 RPM/s
2025-10-30 10:44:05,100 RPM/s,69.6 RPM/s,-100 RPM/s
2025-10-30 10:44:08,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:10,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:12,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:14,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:16,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:18,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:20,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:22,100 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:24,52.2 RPM/s,100 RPM/s,-100 RPM/s
2025-10-30 10:44:26,-83.0 RPM/s,100 RPM/s,45.3 RPM/s
2025-10-30 10:44:28,-100 RPM/s,100 RPM/s,100 RPM/s
2025-10-30 10:44:30,-100 RPM/s,100 RPM/s,100 RPM/s
2025-10-30 10:44:32,-83.2 RPM/s,100 RPM/s,100 RPM/s
2025-10-30 10:44:34,-21.7 RPM/s,100 RPM/s,100 RPM/s
2025-10-30 10:44:36,49.3 RPM/s,39.1 RPM/s,100 RPM/s
2025-10-30 10:44:38,100 RPM/s,-92.0 RPM/s,100 RPM/s
2025-10-30 10:44:40,100 RPM/s,-100 RPM/s,-24.1 RPM/s
2025-10-30 10:44:42,100 RPM/s,-100 RPM/s,-100 RPM/s
2025-10-30 10:44:44,100 RPM/s,-100 RPM/s,-100 RPM/s
2025-10-30 10:44:46,100 RPM/s,-100 RPM/s,-74.0 RPM/s
2025-10-30 10:44:48,100 RPM/s,-100 RPM/s,6.13 RPM/s
2025-10-30 10:44:49,76.8 RPM/s,-100 RPM/s,53.3 RPM/s
2025-10-30 10:44:54,-100 RPM/s,11.6 RPM/s,12.7 RPM/s
2025-10-30 10:44:56,-100 RPM/s,63.9 RPM/s,-54.4 RPM/s
2025-10-30 10:44:58,-100 RPM/s,58.1 RPM/s,-33.5 RPM/s
2025-10-30 10:44:59,-100 RPM/s,47.2 RPM/s,-0.807 RPM/s
2025-10-30 10:45:02,-93.3 RPM/s,22.0 RPM/s,14.5 RPM/s
2025-10-30 10:45:04,-26.7 RPM/s,8.25 RPM/s,-5.93 RPM/s
2025-10-30 10:45:06,40.9 RPM/s,-22.7 RPM/s,-7.46 RPM/s
2025-10-30 10:45:08,95.7 RPM/s,-34.4 RPM/s,-16.4 RPM/s
2025-10-30 10:45:10,100 RPM/s,-23.6 RPM/s,-7.06 RPM/s
2025-10-30 10:45:12,100 RPM/s,8.84 RPM/s,-2.68 RPM/s
2025-10-30 10:45:14,78.9 RPM/s,31.9 RPM/s,0.172 RPM/s
2025-10-30 10:45:16,-24.5 RPM/s,26.4 RPM/s,0.165 RPM/s
2025-10-30 10:45:18,-55.4 RPM/s,-6.28 RPM/s,8.96 RPM/s
2025-10-30 10:45:20,-25.3 RPM/s,-9.32 RPM/s,1.08 RPM/s
2025-10-30 10:45:22,-2.59 RPM/s,-4.21 RPM/s,-0.606 RPM/s
2025-10-30 10:45:24,5.74 RPM/s,-5.51 RPM/s,-2.15 RPM/s
2025-10-30 10:45:26,2.05 RPM/s,-3.64 RPM/s,-2.80 RPM/s
