"Time","X","Y","Z"
2025-10-30 10:40:16,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:18,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:22,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:24,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:34,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:39,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:40,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:42,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:44,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:46,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:48,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:52,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:54,0 rpm,0 rpm,0 rpm
2025-10-30 10:40:56,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:02,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:06,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:08,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:10,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:12,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:14,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:16,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:18,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:24,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:38,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:54,0 rpm,0 rpm,0 rpm
2025-10-30 10:41:56,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:02,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:04,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:06,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:08,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:10,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:12,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:14,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:16,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:18,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:20,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:22,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:24,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:26,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:32,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:34,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:36,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:38,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:40,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:42,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:44,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:46,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:48,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:50,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:52,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:54,0 rpm,0 rpm,0 rpm
2025-10-30 10:42:56,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:04,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:06,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:08,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:10,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:12,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:14,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:16,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:18,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:20,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:22,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:24,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:26,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:28,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:30,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:32,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:34,0 rpm,0 rpm,0 rpm
2025-10-30 10:43:39,-10 rpm,-52.2 rpm,0 rpm
2025-10-30 10:43:41,-63.7 rpm,-123 rpm,0 rpm
2025-10-30 10:43:44,-138 rpm,-206 rpm,17 rpm
2025-10-30 10:43:45,-224 rpm,-316 rpm,28.5 rpm
2025-10-30 10:43:47,-336 rpm,-392 rpm,118 rpm
2025-10-30 10:43:50,-409 rpm,-474 rpm,62 rpm
2025-10-30 10:43:52,-491 rpm,-555 rpm,134 rpm
2025-10-30 10:43:54,-572 rpm,-636 rpm,219 rpm
2025-10-30 10:43:56,-653 rpm,-717 rpm,309 rpm
2025-10-30 10:44:01,-595 rpm,-881 rpm,471 rpm
2025-10-30 10:44:04,-513 rpm,-965 rpm,499 rpm
2025-10-30 10:44:05,-430 rpm,-967 rpm,418 rpm
2025-10-30 10:44:08,-347 rpm,-885 rpm,337 rpm
2025-10-30 10:44:10,-262 rpm,-804 rpm,252 rpm
2025-10-30 10:44:12,-180 rpm,-722 rpm,176 rpm
2025-10-30 10:44:14,-104 rpm,-640 rpm,83.3 rpm
2025-10-30 10:44:16,-31.2 rpm,-559 rpm,23.5 rpm
2025-10-30 10:44:18,24.8 rpm,-476 rpm,-14.5 rpm
2025-10-30 10:44:20,96.5 rpm,-393 rpm,-36.7 rpm
2025-10-30 10:44:22,179 rpm,-308 rpm,-9.25 rpm
2025-10-30 10:44:24,290 rpm,-225 rpm,-66 rpm
2025-10-30 10:44:26,340 rpm,-150 rpm,-134 rpm
2025-10-30 10:44:28,259 rpm,-62.7 rpm,-79.7 rpm
