"Time","X","Y","Z"
2025-10-30 10:40:16,0.792 °/s,0.686 °/s,-10.5 °/s
2025-10-30 10:40:18,0.580 °/s,0.958 °/s,-10.4 °/s
2025-10-30 10:40:22,-0.0316 °/s,1.26 °/s,-10.3 °/s
2025-10-30 10:40:24,-0.369 °/s,1.29 °/s,-10.1 °/s
2025-10-30 10:40:34,-1.46 °/s,0.271 °/s,-9.62 °/s
2025-10-30 10:40:39,-1.42 °/s,-0.339 °/s,-9.62 °/s
2025-10-30 10:40:40,-1.25 °/s,-0.606 °/s,-9.68 °/s
2025-10-30 10:40:42,-1.03 °/s,-0.853 °/s,-9.77 °/s
2025-10-30 10:40:44,-0.770 °/s,-1.01 °/s,-9.87 °/s
2025-10-30 10:40:46,-0.463 °/s,-1.12 °/s,-10.00 °/s
2025-10-30 10:40:48,-0.130 °/s,-1.12 °/s,-10.2 °/s
2025-10-30 10:40:52,0.486 °/s,-0.869 °/s,-10.4 °/s
2025-10-30 10:40:54,0.723 °/s,-0.645 °/s,-10.5 °/s
2025-10-30 10:40:56,0.878 °/s,-0.340 °/s,-10.5 °/s
2025-10-30 10:41:02,0.807 °/s,0.668 °/s,-10.4 °/s
2025-10-30 10:41:06,0.620 °/s,0.931 °/s,-10.3 °/s
2025-10-30 10:41:08,0.0522 °/s,1.28 °/s,-10.1 °/s
2025-10-30 10:41:10,-0.317 °/s,1.34 °/s,-9.82 °/s
2025-10-30 10:41:12,-0.669 °/s,1.33 °/s,-9.59 °/s
2025-10-30 10:41:14,-1.01 °/s,1.20 °/s,-9.40 °/s
2025-10-30 10:41:16,-1.30 °/s,0.992 °/s,-9.26 °/s
2025-10-30 10:41:18,-1.53 °/s,0.710 °/s,-9.16 °/s
2025-10-30 10:41:24,-1.64 °/s,-0.464 °/s,-8.98 °/s
2025-10-30 10:41:38,0.566 °/s,-1.51 °/s,-8.89 °/s
2025-10-30 10:41:54,1.22 °/s,1.37 °/s,-8.61 °/s
2025-10-30 10:41:56,0.922 °/s,1.65 °/s,-8.50 °/s
2025-10-30 10:42:02,-0.249 °/s,2.13 °/s,-7.85 °/s
2025-10-30 10:42:04,-0.624 °/s,2.11 °/s,-7.56 °/s
2025-10-30 10:42:06,-0.977 °/s,2.04 °/s,-7.28 °/s
2025-10-30 10:42:08,-1.31 °/s,1.89 °/s,-6.98 °/s
2025-10-30 10:42:10,-1.57 °/s,1.69 °/s,-6.70 °/s
2025-10-30 10:42:12,-1.80 °/s,1.46 °/s,-6.42 °/s
2025-10-30 10:42:14,-2.03 °/s,1.23 °/s,-6.08 °/s
2025-10-30 10:42:16,-2.18 °/s,0.967 °/s,-5.76 °/s
2025-10-30 10:42:18,-2.29 °/s,0.710 °/s,-5.41 °/s
2025-10-30 10:42:20,-2.34 °/s,0.477 °/s,-5.10 °/s
2025-10-30 10:42:22,-2.37 °/s,0.242 °/s,-4.79 °/s
2025-10-30 10:42:24,-2.40 °/s,0.0224 °/s,-4.50 °/s
2025-10-30 10:42:26,-2.40 °/s,-0.178 °/s,-4.26 °/s
2025-10-30 10:42:32,-2.26 °/s,-0.670 °/s,-3.67 °/s
2025-10-30 10:42:34,-2.20 °/s,-0.836 °/s,-3.49 °/s
2025-10-30 10:42:36,-2.14 °/s,-0.990 °/s,-3.31 °/s
2025-10-30 10:42:38,-2.08 °/s,-1.11 °/s,-3.14 °/s
2025-10-30 10:42:40,-2.00 °/s,-1.24 °/s,-2.98 °/s
2025-10-30 10:42:42,-1.95 °/s,-1.34 °/s,-2.82 °/s
2025-10-30 10:42:44,-1.86 °/s,-1.44 °/s,-2.67 °/s
2025-10-30 10:42:46,-1.77 °/s,-1.54 °/s,-2.54 °/s
2025-10-30 10:42:48,-1.70 °/s,-1.62 °/s,-2.40 °/s
2025-10-30 10:42:50,-1.59 °/s,-1.73 °/s,-2.29 °/s
2025-10-30 10:42:52,-1.50 °/s,-1.82 °/s,-2.17 °/s
2025-10-30 10:42:54,-1.40 °/s,-1.87 °/s,-2.10 °/s
2025-10-30 10:42:56,-1.32 °/s,-1.93 °/s,-2.00 °/s
2025-10-30 10:43:04,-0.951 °/s,-2.15 °/s,-1.74 °/s
2025-10-30 10:43:06,-0.869 °/s,-2.19 °/s,-1.72 °/s
2025-10-30 10:43:08,-0.777 °/s,-2.21 °/s,-1.68 °/s
2025-10-30 10:43:10,-0.679 °/s,-2.24 °/s,-1.64 °/s
2025-10-30 10:43:12,-0.599 °/s,-2.24 °/s,-1.63 °/s
2025-10-30 10:43:14,-0.511 °/s,-2.29 °/s,-1.61 °/s
2025-10-30 10:43:16,-0.406 °/s,-2.31 °/s,-1.63 °/s
2025-10-30 10:43:18,-0.303 °/s,-2.30 °/s,-1.65 °/s
2025-10-30 10:43:20,-0.164 °/s,-2.33 °/s,-1.67 °/s
2025-10-30 10:43:22,-0.0735 °/s,-2.32 °/s,-1.70 °/s
2025-10-30 10:43:24,0.0227 °/s,-2.32 °/s,-1.74 °/s
2025-10-30 10:43:26,0.176 °/s,-2.30 °/s,-1.77 °/s
2025-10-30 10:43:28,0.269 °/s,-2.32 °/s,-1.80 °/s
2025-10-30 10:43:30,0.305 °/s,-2.35 °/s,-1.60 °/s
2025-10-30 10:43:32,0.438 °/s,-2.31 °/s,-1.68 °/s
2025-10-30 10:43:34,0.469 °/s,-2.28 °/s,-1.59 °/s
2025-10-30 10:43:39,0.748 °/s,-2.57 °/s,-1.93 °/s
2025-10-30 10:43:41,0.371 °/s,-3.04 °/s,-2.09 °/s
2025-10-30 10:43:44,-0.169 °/s,-3.59 °/s,-1.95 °/s
2025-10-30 10:43:45,-0.827 °/s,-4.33 °/s,-4.08 °/s
2025-10-30 10:43:47,-1.55 °/s,-4.73 °/s,-3.96 °/s
2025-10-30 10:43:50,-2.13 °/s,-5.11 °/s,-3.36 °/s
2025-10-30 10:43:52,-2.90 °/s,-5.46 °/s,-2.81 °/s
2025-10-30 10:43:54,-3.79 °/s,-5.79 °/s,-1.48 °/s
2025-10-30 10:43:56,-4.88 °/s,-6.08 °/s,0.601 °/s
2025-10-30 10:44:01,-5.43 °/s,-6.39 °/s,6.52 °/s
2025-10-30 10:44:04,-5.00 °/s,-6.41 °/s,8.83 °/s
2025-10-30 10:44:05,-4.35 °/s,-5.83 °/s,7.89 °/s
2025-10-30 10:44:08,-3.45 °/s,-4.79 °/s,6.94 °/s
2025-10-30 10:44:10,-2.44 °/s,-3.92 °/s,5.47 °/s
2025-10-30 10:44:12,-1.48 °/s,-3.17 °/s,3.41 °/s
2025-10-30 10:44:14,-0.772 °/s,-2.51 °/s,-0.646 °/s
2025-10-30 10:44:16,-0.185 °/s,-1.87 °/s,-1.25 °/s
2025-10-30 10:44:18,0.0360 °/s,-1.27 °/s,-1.88 °/s
2025-10-30 10:44:20,0.354 °/s,-0.656 °/s,-1.81 °/s
2025-10-30 10:44:22,0.683 °/s,-0.0253 °/s,-2.16 °/s
2025-10-30 10:44:24,1.30 °/s,0.503 °/s,-4.36 °/s
2025-10-30 10:44:26,1.19 °/s,0.895 °/s,-7.21 °/s
2025-10-30 10:44:28,0.148 °/s,1.36 °/s,-5.29 °/s
2025-10-30 10:44:30,-0.640 °/s,1.40 °/s,-3.69 °/s
2025-10-30 10:44:32,-1.38 °/s,1.13 °/s,-2.03 °/s
2025-10-30 10:44:34,-1.93 °/s,1.21 °/s,-0.945 °/s
2025-10-30 10:44:36,-1.95 °/s,1.64 °/s,0.889 °/s
2025-10-30 10:44:38,-1.86 °/s,1.89 °/s,3.54 °/s
2025-10-30 10:44:40,-1.18 °/s,1.76 °/s,6.94 °/s
2025-10-30 10:44:42,-0.471 °/s,1.81 °/s,4.61 °/s
2025-10-30 10:44:44,0.424 °/s,1.50 °/s,1.56 °/s
2025-10-30 10:44:46,1.20 °/s,1.12 °/s,-1.38 °/s
2025-10-30 10:44:48,1.69 °/s,0.384 °/s,-2.57 °/s
2025-10-30 10:44:49,2.19 °/s,-0.706 °/s,-2.12 °/s
2025-10-30 10:44:54,1.76 °/s,-2.14 °/s,3.14 °/s
2025-10-30 10:44:56,1.17 °/s,-1.70 °/s,2.51 °/s
2025-10-30 10:44:58,0.465 °/s,-1.03 °/s,-0.274 °/s
2025-10-30 10:44:59,-0.271 °/s,-0.394 °/s,-1.16 °/s
2025-10-30 10:45:02,-1.17 °/s,0.106 °/s,-0.658 °/s
2025-10-30 10:45:04,-1.39 °/s,0.306 °/s,0.307 °/s
2025-10-30 10:45:06,-1.57 °/s,0.374 °/s,0.287 °/s
2025-10-30 10:45:08,-1.42 °/s,0.0701 °/s,0.0755 °/s
2025-10-30 10:45:10,-1.08 °/s,-0.332 °/s,-0.136 °/s
2025-10-30 10:45:12,-0.482 °/s,-0.487 °/s,-0.0259 °/s
2025-10-30 10:45:14,0.0722 °/s,-0.289 °/s,0.0280 °/s
2025-10-30 10:45:16,1.16 °/s,0.138 °/s,-0.0609 °/s
2025-10-30 10:45:18,0.692 °/s,0.304 °/s,-0.157 °/s
2025-10-30 10:45:20,0.0709 °/s,0.185 °/s,0.101 °/s
2025-10-30 10:45:22,-0.162 °/s,0.0761 °/s,0.00753 °/s
2025-10-30 10:45:24,-0.128 °/s,0.0607 °/s,0.0232 °/s
2025-10-30 10:45:26,-0.0453 °/s,0.0104 °/s,0.0538 °/s
2025-10-30 10:45:32,-0.0254 °/s,-0.0309 °/s,-0.00798 °/s
2025-10-30 10:45:34,-0.00669 °/s,-0.0269 °/s,0.0175 °/s
2025-10-30 10:45:36,0.00683 °/s,-0.0249 °/s,-0.116 °/s
2025-10-30 10:45:38,-0.0103 °/s,-0.0000870 °/s,-0.321 °/s
2025-10-30 10:45:40,-0.00185 °/s,0.00273 °/s,-0.0154 °/s
