"Time","X","Y","Z"
2025-12-15 09:31:02,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:04,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:06,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:08,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:10,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:12,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:14,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:20,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:22,10 rpm,0 rpm,0 rpm
2025-12-15 09:31:24,167 rpm,-39.7 rpm,0 rpm
2025-12-15 09:31:30,634 rpm,11 rpm,136 rpm
2025-12-15 09:31:36,293 rpm,6.75 rpm,53 rpm
2025-12-15 09:31:38,146 rpm,93.3 rpm,42.3 rpm
2025-12-15 09:31:42,20.5 rpm,-26.7 rpm,49.5 rpm
2025-12-15 09:31:44,12.5 rpm,-50.7 rpm,54 rpm
2025-12-15 09:31:50,7.75 rpm,-21.2 rpm,47.5 rpm
2025-12-15 09:31:52,7.75 rpm,13 rpm,45 rpm
2025-12-15 09:31:56,258 rpm,42.8 rpm,41.3 rpm
2025-12-15 09:31:58,444 rpm,66 rpm,31.8 rpm
2025-12-15 09:32:00,454 rpm,89 rpm,22.8 rpm
2025-12-15 09:32:02,293 rpm,236 rpm,21.3 rpm
2025-12-15 09:32:04,134 rpm,337 rpm,23.5 rpm
2025-12-15 09:32:06,35.3 rpm,203 rpm,34 rpm
2025-12-15 09:32:08,15.8 rpm,62.8 rpm,53.5 rpm
2025-12-15 09:32:10,10.8 rpm,26.3 rpm,64.8 rpm
2025-12-15 09:32:14,291 rpm,-10.2 rpm,59.5 rpm
2025-12-15 09:32:16,396 rpm,8.75 rpm,50.8 rpm
2025-12-15 09:32:18,283 rpm,129 rpm,64.8 rpm
2025-12-15 09:32:20,157 rpm,273 rpm,96.8 rpm
2025-12-15 09:32:22,166 rpm,236 rpm,112 rpm
2025-12-15 09:32:26,153 rpm,0 rpm,140 rpm
2025-12-15 09:32:28,64.5 rpm,16.8 rpm,109 rpm
2025-12-15 09:32:32,14 rpm,-13.5 rpm,99.5 rpm
2025-12-15 09:32:36,104 rpm,-11.2 rpm,68.3 rpm
2025-12-15 09:32:38,282 rpm,-29 rpm,65.3 rpm
2025-12-15 09:32:40,313 rpm,-7.25 rpm,55 rpm
2025-12-15 09:32:44,143 rpm,-97.5 rpm,95.3 rpm
2025-12-15 09:32:46,99.5 rpm,-195 rpm,59 rpm
2025-12-15 09:32:48,80.5 rpm,-188 rpm,51.5 rpm
2025-12-15 09:32:50,96 rpm,-130 rpm,47.8 rpm
2025-12-15 09:32:52,126 rpm,-91.2 rpm,54.5 rpm
2025-12-15 09:32:56,127 rpm,-61.2 rpm,60.3 rpm
2025-12-15 09:32:58,124 rpm,-59.2 rpm,60.3 rpm
2025-12-15 09:33:00,124 rpm,-59 rpm,60.3 rpm
2025-12-15 09:33:02,120 rpm,-62.2 rpm,60 rpm
2025-12-15 09:33:06,110 rpm,-66.7 rpm,59.3 rpm
2025-12-15 09:33:08,101 rpm,-69.2 rpm,56.8 rpm
2025-12-15 09:33:10,110 rpm,-66.5 rpm,50.8 rpm
2025-12-15 09:33:12,136 rpm,-73.5 rpm,52.3 rpm
2025-12-15 09:33:14,129 rpm,-72.5 rpm,48.8 rpm
2025-12-15 09:33:16,124 rpm,-63.2 rpm,47.3 rpm
2025-12-15 09:33:18,130 rpm,-66.5 rpm,53.5 rpm
2025-12-15 09:33:20,124 rpm,-68.2 rpm,45 rpm
2025-12-15 09:33:22,126 rpm,-66.2 rpm,54.3 rpm
2025-12-15 09:33:26,118 rpm,-58.2 rpm,42.5 rpm
2025-12-15 09:33:28,128 rpm,-63 rpm,52 rpm
2025-12-15 09:33:36,122 rpm,-58 rpm,41.8 rpm
2025-12-15 09:33:38,121 rpm,-60.7 rpm,41.8 rpm
2025-12-15 09:33:40,110 rpm,-61.7 rpm,37.3 rpm
2025-12-15 09:33:46,-27.7 rpm,198 rpm,-42.5 rpm
2025-12-15 09:33:48,60 rpm,390 rpm,-31.7 rpm
2025-12-15 09:33:50,-18.2 rpm,560 rpm,41.3 rpm
2025-12-15 09:33:52,-11.7 rpm,726 rpm,46.5 rpm
2025-12-15 09:33:58,-442 rpm,358 rpm,33.5 rpm
2025-12-15 09:34:02,-775 rpm,55.3 rpm,98 rpm
2025-12-15 09:34:06,-580 rpm,-317 rpm,-10.5 rpm
2025-12-15 09:34:08,-416 rpm,-476 rpm,-9 rpm
2025-12-15 09:34:10,-258 rpm,-643 rpm,15.8 rpm
2025-12-15 09:34:12,-103 rpm,-687 rpm,59.5 rpm
2025-12-15 09:34:16,200 rpm,-476 rpm,24.8 rpm
2025-12-15 09:34:20,46.8 rpm,-194 rpm,37 rpm
2025-12-15 09:34:22,-152 rpm,-188 rpm,32.5 rpm
2025-12-15 09:34:36,-199 rpm,-105 rpm,-18.7 rpm
2025-12-15 09:34:38,-108 rpm,-100 rpm,-78 rpm
2025-12-15 09:34:40,-30.5 rpm,-107 rpm,-105 rpm
2025-12-15 09:34:48,-12.7 rpm,-92.2 rpm,-75.7 rpm
2025-12-15 09:34:52,-95.2 rpm,-102 rpm,-74.2 rpm
2025-12-15 09:34:54,-128 rpm,-110 rpm,-87.5 rpm
2025-12-15 09:34:58,-64.7 rpm,-118 rpm,-79.2 rpm
2025-12-15 09:35:06,-43 rpm,-96 rpm,-77.5 rpm
2025-12-15 09:35:08,-39.7 rpm,-98.2 rpm,-74.5 rpm
2025-12-15 09:35:10,-44.7 rpm,-99.7 rpm,-75.7 rpm
2025-12-15 09:35:12,-44.2 rpm,-100 rpm,-72.2 rpm
2025-12-15 09:35:14,-41 rpm,-102 rpm,-73.5 rpm
2025-12-15 09:35:16,-45 rpm,-105 rpm,-73.7 rpm
2025-12-15 09:35:18,-48.5 rpm,-104 rpm,-72.2 rpm
2025-12-15 09:35:20,-44.7 rpm,-104 rpm,-70.2 rpm
2025-12-15 09:35:22,-44.5 rpm,-103 rpm,-68.7 rpm
2025-12-15 09:35:24,-45.2 rpm,-99.7 rpm,-70.5 rpm
2025-12-15 09:35:26,-46 rpm,-99.7 rpm,-66.5 rpm
2025-12-15 09:35:30,-45 rpm,-100 rpm,-66.2 rpm
