"Time","q0","q1","q2","q3"
2025-12-17 20:46:09,0.999,-0.0202,0.0243,-0.0444
2025-12-17 20:46:11,0.996,-0.0344,0.0405,-0.0733
2025-12-17 20:46:13,0.992,-0.0490,0.0567,-0.102
2025-12-17 20:46:15,0.987,-0.0644,0.0729,-0.129
2025-12-17 20:46:17,0.981,-0.0804,0.0891,-0.155
2025-12-17 20:46:19,0.973,-0.0967,0.105,-0.180
2025-12-17 20:46:21,0.973,-0.0967,0.105,-0.180
2025-12-17 20:46:23,0.959,-0.125,0.137,-0.214
2025-12-17 20:46:25,0.951,-0.141,0.152,-0.230
2025-12-17 20:46:27,0.942,-0.156,0.166,-0.246
2025-12-17 20:46:29,0.932,-0.173,0.180,-0.263
2025-12-17 20:46:35,0.942,-0.105,0.191,-0.256
2025-12-17 20:46:37,0.959,-0.0385,0.162,-0.228
2025-12-17 20:46:43,0.985,0.121,0.0738,-0.103
2025-12-17 20:46:45,0.988,0.134,0.0629,-0.0483
2025-12-17 20:46:47,0.991,0.126,0.0515,0.00706
2025-12-17 20:46:51,0.998,0.0516,0.0268,0.0279
2025-12-17 20:46:53,1.000,0.0209,0.0163,0.0136
2025-12-17 20:46:57,1.000,0.00184,-0.000865,0.00128
2025-12-17 20:46:59,1.000,0.00214,-0.000581,0.00923
2025-12-17 20:47:05,1.000,0.000328,-0.000498,-0.00117
2025-12-17 20:47:07,1,0.000634,-0.000194,0.000748
2025-12-17 20:47:09,1.000,0.000303,0.00107,0.000145
2025-12-17 20:47:11,1.000,0.000433,0.00143,-0.000843
2025-12-17 20:47:13,1.000,0.000982,0.00146,0.00375
2025-12-17 20:47:15,1.000,0.000473,0.00147,-0.00378
2025-12-17 20:47:17,1.000,-0.000221,0.000733,0.00375
2025-12-17 20:47:19,1,0.000205,0.000576,-0.000289
2025-12-17 20:47:21,1,0.000185,0.000728,0.000411
2025-12-17 20:47:23,1.000,-0.0000630,0.000803,-0.00230
2025-12-17 20:47:25,1.000,0.0000250,0.000636,-0.00104
2025-12-17 20:47:27,1.000,0.000526,0.000636,0.00104
2025-12-17 20:47:29,1.000,0.000625,0.000988,0.00338
2025-12-17 20:47:31,1.000,0.000142,0.00139,0.00237
2025-12-17 20:47:33,1.000,-0.000525,0.00118,-0.00257
2025-12-17 20:47:37,1,0.000129,0.000413,-0.000385
2025-12-17 20:47:39,1,0.000528,0.000837,-0.000178
2025-12-17 20:47:41,1.000,0.000564,0.00157,0.0000730
2025-12-17 20:47:43,1.000,0.000492,0.00154,-0.000286
2025-12-17 20:47:45,1.000,0.000451,0.00130,0.000524
2025-12-17 20:47:47,1.000,0.000578,0.00152,0.000633
2025-12-17 20:47:49,1.000,0.000755,0.00141,-0.00154
2025-12-17 20:47:51,1.000,0.000820,0.00103,0.00157
2025-12-17 20:47:53,1.000,0.000363,0.00118,0.000746
2025-12-17 20:47:55,1.000,0.0000190,0.00131,0.000567
2025-12-17 20:47:57,1.000,-0.000200,0.00123,0.00000500
2025-12-17 20:47:59,1.000,-0.0000770,0.00120,0.00196
2025-12-17 20:48:01,1.000,-0.0000350,0.00126,-0.000487
2025-12-17 20:48:05,1.000,-0.000482,0.000779,-0.00227
2025-12-17 20:48:07,1,0.0000120,0.000730,-0.0000890
2025-12-17 20:48:13,1,0.0000200,0.000664,-0.000702
2025-12-17 20:48:17,1.000,0.000348,0.000967,0.000578
2025-12-17 20:48:19,1.000,0.000517,0.00154,0.00337
2025-12-17 20:48:21,-0.520,-0.485,-0.508,-0.487
2025-12-17 20:48:23,-0.550,-0.481,-0.501,-0.464
2025-12-17 20:48:25,-0.570,-0.509,-0.457,-0.455
2025-12-17 20:48:27,-0.587,-0.552,-0.381,-0.453
2025-12-17 20:48:29,-0.602,-0.600,-0.269,-0.453
2025-12-17 20:48:31,-0.613,-0.637,-0.120,-0.451
2025-12-17 20:48:33,-0.606,-0.649,0.0512,-0.457
2025-12-17 20:48:35,-0.603,-0.627,0.203,-0.449
2025-12-17 20:48:37,-0.613,-0.579,0.331,-0.423
2025-12-17 20:48:39,-0.624,-0.499,0.453,-0.395
2025-12-17 20:48:41,-0.639,-0.391,0.561,-0.352
2025-12-17 20:48:43,-0.643,-0.242,0.659,-0.305
