"Time","X","Y","Z"
2025-12-17 20:46:09,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:11,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:13,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:15,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:17,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:19,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:21,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:23,100 RPM/s,-100 RPM/s,100 RPM/s
2025-12-17 20:46:25,100 RPM/s,-100 RPM/s,89.2 RPM/s
2025-12-17 20:46:27,100 RPM/s,-100 RPM/s,95.5 RPM/s
2025-12-17 20:46:29,100 RPM/s,-100 RPM/s,99.0 RPM/s
2025-12-17 20:46:35,100 RPM/s,-98.6 RPM/s,17.2 RPM/s
2025-12-17 20:46:37,26.9 RPM/s,-39.7 RPM/s,-2.89 RPM/s
2025-12-17 20:46:43,-100 RPM/s,2.88 RPM/s,0.970 RPM/s
2025-12-17 20:46:45,-100 RPM/s,-19.0 RPM/s,-0.0640 RPM/s
2025-12-17 20:46:47,-100 RPM/s,-24.3 RPM/s,-29.9 RPM/s
2025-12-17 20:46:51,87.7 RPM/s,-1.45 RPM/s,-31.9 RPM/s
2025-12-17 20:46:53,84.7 RPM/s,4.61 RPM/s,-3.37 RPM/s
2025-12-17 20:46:57,7.55 RPM/s,37.6 RPM/s,-17.0 RPM/s
2025-12-17 20:46:59,-9.58 RPM/s,7.35 RPM/s,-25.4 RPM/s
2025-12-17 20:47:05,-7.30 RPM/s,8.57 RPM/s,-3.02 RPM/s
2025-12-17 20:47:07,-2.40 RPM/s,3.39 RPM/s,-4.72 RPM/s
2025-12-17 20:47:09,4.22 RPM/s,-5.72 RPM/s,-2.17 RPM/s
2025-12-17 20:47:11,-0.165 RPM/s,-3.91 RPM/s,2.50 RPM/s
2025-12-17 20:47:13,-5.64 RPM/s,2.08 RPM/s,-14.5 RPM/s
2025-12-17 20:47:15,4.90 RPM/s,-5.63 RPM/s,15.3 RPM/s
2025-12-17 20:47:17,3.03 RPM/s,6.97 RPM/s,-17.6 RPM/s
2025-12-17 20:47:19,-0.270 RPM/s,0.258 RPM/s,3.29 RPM/s
2025-12-17 20:47:21,-0.0673 RPM/s,-0.409 RPM/s,-0.409 RPM/s
2025-12-17 20:47:23,3.33 RPM/s,-2.26 RPM/s,6.29 RPM/s
2025-12-17 20:47:25,0.960 RPM/s,1.24 RPM/s,-0.818 RPM/s
2025-12-17 20:47:27,-4.19 RPM/s,1.42 RPM/s,-1.52 RPM/s
2025-12-17 20:47:29,-3.43 RPM/s,0.141 RPM/s,-9.39 RPM/s
2025-12-17 20:47:31,2.30 RPM/s,-2.07 RPM/s,-6.11 RPM/s
2025-12-17 20:47:33,7.02 RPM/s,-3.13 RPM/s,8.52 RPM/s
