"Time","X","Y","Z"
2025-12-17 20:46:09,-0.784 °/s,0.919 °/s,-1.68 °/s
2025-12-17 20:46:11,-0.826 °/s,0.932 °/s,-1.66 °/s
2025-12-17 20:46:13,-0.840 °/s,0.923 °/s,-1.62 °/s
2025-12-17 20:46:15,-0.902 °/s,0.933 °/s,-1.57 °/s
2025-12-17 20:46:17,-0.936 °/s,0.925 °/s,-1.52 °/s
2025-12-17 20:46:19,-0.974 °/s,0.917 °/s,-1.46 °/s
2025-12-17 20:46:21,-0.974 °/s,0.917 °/s,-1.46 °/s
2025-12-17 20:46:23,-0.863 °/s,0.871 °/s,-0.856 °/s
2025-12-17 20:46:25,-0.995 °/s,0.797 °/s,-0.963 °/s
2025-12-17 20:46:27,-0.989 °/s,0.738 °/s,-0.901 °/s
2025-12-17 20:46:29,-1.00 °/s,0.744 °/s,-1.10 °/s
2025-12-17 20:46:35,2.78 °/s,-0.0439 °/s,1.94 °/s
2025-12-17 20:46:37,4.12 °/s,-1.16 °/s,2.34 °/s
2025-12-17 20:46:43,1.51 °/s,-0.0904 °/s,3.44 °/s
2025-12-17 20:46:45,0.164 °/s,-0.134 °/s,3.15 °/s
2025-12-17 20:46:47,-0.749 °/s,-0.383 °/s,3.26 °/s
2025-12-17 20:46:51,-2.65 °/s,-0.587 °/s,-1.85 °/s
2025-12-17 20:46:53,-1.38 °/s,-0.579 °/s,-1.10 °/s
2025-12-17 20:46:57,-0.0123 °/s,-0.358 °/s,0.778 °/s
2025-12-17 20:46:59,-0.0489 °/s,0.103 °/s,0.384 °/s
2025-12-17 20:47:05,0.165 °/s,-0.0634 °/s,0.372 °/s
2025-12-17 20:47:07,-0.0533 °/s,0.0305 °/s,0.175 °/s
2025-12-17 20:47:09,-0.0304 °/s,0.0637 °/s,0.0768 °/s
2025-12-17 20:47:11,-0.0223 °/s,0.00983 °/s,-0.143 °/s
2025-12-17 20:47:13,-0.0338 °/s,0.00423 °/s,0.317 °/s
2025-12-17 20:47:15,-0.105 °/s,-0.00907 °/s,-0.503 °/s
2025-12-17 20:47:17,-0.0525 °/s,-0.0497 °/s,0.474 °/s
2025-12-17 20:47:19,-0.0171 °/s,0.00701 °/s,-0.120 °/s
2025-12-17 20:47:21,-0.0576 °/s,0.0162 °/s,-0.0654 °/s
2025-12-17 20:47:23,-0.0710 °/s,-0.0107 °/s,-0.0954 °/s
2025-12-17 20:47:25,-0.00744 °/s,-0.00706 °/s,0.230 °/s
2025-12-17 20:47:27,0.0271 °/s,0.00980 °/s,0.152 °/s
2025-12-17 20:47:29,0.0318 °/s,0.0205 °/s,0.163 °/s
2025-12-17 20:47:31,-0.00543 °/s,0.00863 °/s,0.0651 °/s
2025-12-17 20:47:33,-0.0223 °/s,-0.0240 °/s,-0.262 °/s
2025-12-17 20:47:37,0.0159 °/s,-0.0292 °/s,0.178 °/s
2025-12-17 20:47:39,0.0127 °/s,0.0408 °/s,-0.0632 °/s
2025-12-17 20:47:41,0.0107 °/s,0.0336 °/s,0.131 °/s
2025-12-17 20:47:43,-0.00793 °/s,-0.00532 °/s,-0.0311 °/s
2025-12-17 20:47:45,0.0143 °/s,-0.0155 °/s,0.186 °/s
2025-12-17 20:47:47,0.00503 °/s,0.0106 °/s,-0.104 °/s
2025-12-17 20:47:49,0.00946 °/s,-0.00948 °/s,-0.407 °/s
2025-12-17 20:47:51,-0.00157 °/s,-0.0184 °/s,0.259 °/s
2025-12-17 20:47:53,-0.0308 °/s,0.00943 °/s,-0.200 °/s
2025-12-17 20:47:55,-0.0159 °/s,0.0155 °/s,-0.109 °/s
2025-12-17 20:47:57,-0.0183 °/s,-0.0204 °/s,0.240 °/s
