"Time","q0","q1","q2","q3"
2025-12-08 22:19:14,-0.634,0.575,0.158,0.493
2025-12-08 22:19:16,-0.669,0.611,0.0851,0.416
2025-12-08 22:19:18,-0.694,0.636,0.00689,0.337
2025-12-08 22:19:20,-0.710,0.652,-0.0755,0.256
2025-12-08 22:19:24,-0.712,0.650,-0.248,0.0968
2025-12-08 22:19:26,-0.699,0.632,-0.334,0.0205
2025-12-08 22:19:32,-0.609,0.514,-0.576,-0.181
2025-12-08 22:19:36,-0.515,0.389,-0.710,-0.283
2025-12-08 22:19:36,-0.515,0.389,-0.710,-0.283
2025-12-08 22:19:38,-0.461,0.316,-0.765,-0.321
2025-12-08 22:19:40,-0.403,0.237,-0.811,-0.352
2025-12-08 22:19:42,-0.344,0.155,-0.848,-0.373
2025-12-08 22:19:44,-0.284,0.0696,-0.875,-0.386
2025-12-08 22:19:46,-0.224,-0.0166,-0.893,-0.390
2025-12-08 22:19:48,-0.166,-0.103,-0.901,-0.387
2025-12-08 22:19:52,-0.0574,-0.271,-0.892,-0.358
2025-12-08 22:19:54,-0.00779,-0.352,-0.874,-0.334
2025-12-08 22:19:56,0.0376,-0.428,-0.850,-0.305
2025-12-08 22:20:02,0.131,-0.603,-0.758,-0.212
2025-12-08 22:20:07,0.190,-0.739,-0.639,-0.101
2025-12-08 22:20:09,0.205,-0.783,-0.584,-0.0535
2025-12-08 22:20:11,0.215,-0.824,-0.524,-0.00402
2025-12-08 22:20:13,0.229,-0.856,-0.460,0.0516
2025-12-08 22:20:15,0.257,-0.869,-0.409,0.112
2025-12-08 22:20:18,0.314,-0.861,-0.367,0.158
2025-12-08 22:20:19,0.391,-0.838,-0.324,0.199
2025-12-08 22:20:21,0.491,-0.784,-0.304,0.225
2025-12-08 22:20:23,0.610,-0.696,-0.307,0.223
2025-12-08 22:20:26,0.727,-0.577,-0.326,0.180
2025-12-08 22:20:32,0.955,-0.187,-0.221,-0.0660
2025-12-08 22:20:35,0.982,-0.0951,-0.142,-0.0845
2025-12-08 22:20:35,0.982,-0.0951,-0.142,-0.0845
2025-12-08 22:20:37,0.994,-0.0331,-0.0722,-0.0689
2025-12-08 22:20:39,0.999,0.00514,-0.0222,-0.0437
2025-12-08 22:20:41,1.000,0.0218,0.0120,-0.0132
2025-12-08 22:20:43,0.999,0.0174,0.0257,0.0115
2025-12-08 22:20:45,1.000,0.000993,0.0170,0.0173
2025-12-08 22:20:47,1.000,-0.0136,0.00807,0.0136
2025-12-08 22:20:50,1.000,-0.0293,0.00128,0.00539
2025-12-08 22:20:52,1.000,-0.0276,-0.00261,0.0106
2025-12-08 22:20:53,1.000,-0.0138,-0.00412,0.00951
2025-12-08 22:20:56,1.000,-0.00201,-0.00315,-0.00871
2025-12-08 22:21:02,1.000,0.00311,0.000151,0.00169
2025-12-08 22:21:04,1.000,0.00193,0.00162,0.00216
2025-12-08 22:21:06,1.000,0.00107,0.00157,0.000784
2025-12-08 22:21:08,1.000,0.000509,0.000545,-0.00128
2025-12-08 22:21:10,1.000,0.000207,-0.000439,-0.00129
2025-12-08 22:21:12,1.000,0.0000960,-0.000473,0.00190
2025-12-08 22:21:14,1.000,-0.000167,0.000158,-0.00179
2025-12-08 22:21:16,1,-0.000360,0.000184,0.000501
2025-12-08 22:21:16,1,-0.000360,0.000184,0.000501
2025-12-08 22:21:18,1.000,-0.000519,0.000176,-0.00225
2025-12-08 22:21:20,1.000,-0.000478,0.0000930,-0.00362
2025-12-08 22:21:22,1.000,-0.00170,0.000173,0.000371
2025-12-08 22:21:23,1.000,-0.00221,0.000357,0.00209
2025-12-08 22:21:25,1.000,-0.00159,0.000245,-0.00227
2025-12-08 22:21:32,1.000,0.000584,0.0000880,-0.00209
2025-12-08 22:21:36,1.000,0.000554,-0.0000450,0.00111
2025-12-08 22:21:38,1,0.000685,0.000400,0.000656
2025-12-08 22:21:40,1.000,0.0000350,0.000989,-0.00243
2025-12-08 22:21:42,1,0.000294,0.000323,-0.000767
2025-12-08 22:21:44,1.000,0.000579,-0.000102,-0.000974
2025-12-08 22:21:46,1.000,0.000426,-0.0000110,-0.00111
2025-12-08 22:21:50,1.000,0.000214,0.0000130,-0.00107
2025-12-08 22:21:52,-0.517,-0.488,-0.507,-0.488
2025-12-08 22:21:54,-0.546,-0.486,-0.489,-0.476
2025-12-08 22:21:55,-0.569,-0.510,-0.440,-0.472
2025-12-08 22:22:03,-0.557,-0.665,0.0937,-0.489
2025-12-08 22:22:05,-0.543,-0.648,0.242,-0.476
2025-12-08 22:22:08,-0.557,-0.611,0.354,-0.438
2025-12-08 22:22:12,-0.574,-0.430,0.588,-0.374
2025-12-08 22:22:14,-0.580,-0.292,0.688,-0.324
2025-12-08 22:22:15,-0.567,-0.111,0.771,-0.268
2025-12-08 22:22:17,-0.521,0.117,0.814,-0.228
2025-12-08 22:22:17,-0.521,0.117,0.814,-0.228
2025-12-08 22:22:20,-0.459,0.335,0.802,-0.182
2025-12-08 22:22:22,-0.403,0.510,0.752,-0.115
2025-12-08 22:22:24,-0.360,0.652,0.666,-0.0383
2025-12-08 22:22:26,-0.322,0.778,0.540,0.0249
2025-12-08 22:22:36,-0.188,0.981,-0.0405,0.0244
2025-12-08 22:22:37,-0.200,0.978,-0.0633,-0.0151
2025-12-08 22:22:40,-0.234,0.968,-0.0695,-0.0542
2025-12-08 22:22:42,-0.286,0.951,-0.0757,-0.0917
2025-12-08 22:22:44,-0.355,0.922,-0.0870,-0.129
2025-12-08 22:22:46,-0.440,0.877,-0.0999,-0.164
2025-12-08 22:22:48,-0.538,0.813,-0.110,-0.194
2025-12-08 22:22:48,-0.538,0.813,-0.110,-0.194
