"Time","X","Y","Z"
2025-12-08 22:19:14,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:18,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:20,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:24,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:26,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:32,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:36,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:36,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:38,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:40,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:42,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:44,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:46,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:48,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:52,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:54,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:19:56,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:20:02,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-08 22:20:07,100 RPM/s,100 RPM/s,-37.8 RPM/s
2025-12-08 22:20:09,100 RPM/s,100 RPM/s,-35.3 RPM/s
2025-12-08 22:20:11,100 RPM/s,100 RPM/s,-39.8 RPM/s
2025-12-08 22:20:13,100 RPM/s,100 RPM/s,-42.6 RPM/s
2025-12-08 22:20:15,100 RPM/s,100 RPM/s,-46.5 RPM/s
2025-12-08 22:20:18,100 RPM/s,31.1 RPM/s,-32.4 RPM/s
2025-12-08 22:20:19,100 RPM/s,-12.5 RPM/s,-60.4 RPM/s
2025-12-08 22:20:21,95.5 RPM/s,-15.7 RPM/s,-58.6 RPM/s
2025-12-08 22:20:23,11.3 RPM/s,-17.2 RPM/s,-49.8 RPM/s
2025-12-08 22:20:26,-36.5 RPM/s,100 RPM/s,-15.2 RPM/s
2025-12-08 22:20:32,-97.1 RPM/s,-34.1 RPM/s,99.9 RPM/s
2025-12-08 22:20:35,-100 RPM/s,-86.7 RPM/s,70.7 RPM/s
2025-12-08 22:20:35,-100 RPM/s,-86.7 RPM/s,70.7 RPM/s
2025-12-08 22:20:37,-100 RPM/s,-100 RPM/s,64.5 RPM/s
2025-12-08 22:20:39,-100 RPM/s,-100 RPM/s,33.3 RPM/s
2025-12-08 22:20:41,-98.8 RPM/s,-100 RPM/s,2.39 RPM/s
2025-12-08 22:20:43,-9.90 RPM/s,-93.3 RPM/s,-32.5 RPM/s
2025-12-08 22:20:45,63.0 RPM/s,-2.73 RPM/s,-31.0 RPM/s
2025-12-08 22:20:47,94.0 RPM/s,14.2 RPM/s,-16.3 RPM/s
2025-12-08 22:20:50,100 RPM/s,7.59 RPM/s,13.4 RPM/s
2025-12-08 22:20:52,52.1 RPM/s,13.6 RPM/s,-14.3 RPM/s
2025-12-08 22:20:53,-31.9 RPM/s,19.1 RPM/s,-23.1 RPM/s
2025-12-08 22:20:56,-47.5 RPM/s,-2.45 RPM/s,43.9 RPM/s
2025-12-08 22:21:02,-6.70 RPM/s,-1.62 RPM/s,-13.5 RPM/s
2025-12-08 22:21:04,0.867 RPM/s,-8.30 RPM/s,-4.81 RPM/s
2025-12-08 22:21:06,2.93 RPM/s,-2.75 RPM/s,-3.46 RPM/s
2025-12-08 22:21:08,2.18 RPM/s,2.43 RPM/s,3.92 RPM/s
2025-12-08 22:21:10,2.83 RPM/s,6.07 RPM/s,-1.39 RPM/s
2025-12-08 22:21:12,-1.12 RPM/s,3.27 RPM/s,-6.63 RPM/s
2025-12-08 22:21:14,4.58 RPM/s,-4.25 RPM/s,4.70 RPM/s
2025-12-08 22:21:16,2.30 RPM/s,0.515 RPM/s,-5.73 RPM/s
2025-12-08 22:21:16,2.30 RPM/s,0.515 RPM/s,-5.73 RPM/s
2025-12-08 22:21:18,3.41 RPM/s,-2.50 RPM/s,7.78 RPM/s
2025-12-08 22:21:20,4.58 RPM/s,-1.57 RPM/s,6.39 RPM/s
2025-12-08 22:21:22,11.1 RPM/s,0.547 RPM/s,-7.52 RPM/s
2025-12-08 22:21:23,7.51 RPM/s,-2.16 RPM/s,-5.01 RPM/s
2025-12-08 22:21:25,3.23 RPM/s,-3.05 RPM/s,9.10 RPM/s
2025-12-08 22:21:32,0.641 RPM/s,-3.58 RPM/s,6.46 RPM/s
2025-12-08 22:21:36,-3.73 RPM/s,2.83 RPM/s,-8.30 RPM/s
2025-12-08 22:21:38,-2.61 RPM/s,-2.02 RPM/s,-0.0228 RPM/s
2025-12-08 22:21:40,5.96 RPM/s,-6.37 RPM/s,6.19 RPM/s
2025-12-08 22:21:42,-0.466 RPM/s,2.57 RPM/s,-1.48 RPM/s
2025-12-08 22:21:44,-3.04 RPM/s,2.42 RPM/s,2.84 RPM/s
2025-12-08 22:21:46,1.54 RPM/s,0.263 RPM/s,0.158 RPM/s
2025-12-08 22:21:50,1.79 RPM/s,-0.228 RPM/s,1.29 RPM/s
2025-12-08 22:21:52,100 RPM/s,-100 RPM/s,49.8 RPM/s
2025-12-08 22:21:54,100 RPM/s,-100 RPM/s,53.4 RPM/s
