"Time","X","Y","Z"
2025-12-08 22:19:14,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:16,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:18,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:20,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:24,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:26,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:32,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:36,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:36,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:38,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:40,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:42,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:44,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:46,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:48,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:52,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:54,0 rpm,0 rpm,0 rpm
2025-12-08 22:19:56,0 rpm,0 rpm,0 rpm
2025-12-08 22:20:02,0 rpm,0 rpm,0 rpm
2025-12-08 22:20:07,0 rpm,0 rpm,0 rpm
2025-12-08 22:20:09,0 rpm,0 rpm,0 rpm
2025-12-08 22:20:11,0 rpm,0 rpm,0 rpm
2025-12-08 22:20:13,110 rpm,0 rpm,-10 rpm
2025-12-08 22:20:15,307 rpm,10 rpm,-58.5 rpm
2025-12-08 22:20:18,476 rpm,170 rpm,-124 rpm
2025-12-08 22:20:19,648 rpm,193 rpm,-177 rpm
2025-12-08 22:20:21,819 rpm,173 rpm,-299 rpm
2025-12-08 22:20:23,939 rpm,166 rpm,-400 rpm
2025-12-08 22:20:26,929 rpm,171 rpm,-464 rpm
2025-12-08 22:20:32,892 rpm,516 rpm,-261 rpm
2025-12-08 22:20:35,727 rpm,429 rpm,-104 rpm
2025-12-08 22:20:35,727 rpm,429 rpm,-104 rpm
2025-12-08 22:20:37,558 rpm,283 rpm,31.3 rpm
2025-12-08 22:20:39,391 rpm,123 rpm,64 rpm
2025-12-08 22:20:41,227 rpm,-32.7 rpm,104 rpm
2025-12-08 22:20:43,72.8 rpm,-197 rpm,98.5 rpm
2025-12-08 22:20:45,-25 rpm,-342 rpm,61.5 rpm
2025-12-08 22:20:47,38.5 rpm,-336 rpm,36.5 rpm
2025-12-08 22:20:50,10 rpm,-313 rpm,29.8 rpm
2025-12-08 22:20:52,171 rpm,-300 rpm,31.5 rpm
2025-12-08 22:20:53,234 rpm,-278 rpm,27 rpm
2025-12-08 22:20:56,209 rpm,-256 rpm,19.3 rpm
2025-12-08 22:21:02,125 rpm,-253 rpm,65.8 rpm
2025-12-08 22:21:04,118 rpm,-257 rpm,52.8 rpm
2025-12-08 22:21:06,119 rpm,-271 rpm,50 rpm
2025-12-08 22:21:08,123 rpm,-273 rpm,49.3 rpm
2025-12-08 22:21:10,125 rpm,-271 rpm,54 rpm
2025-12-08 22:21:12,127 rpm,-262 rpm,57 rpm
2025-12-08 22:21:14,125 rpm,-260 rpm,52.5 rpm
2025-12-08 22:21:16,123 rpm,-264 rpm,57 rpm
2025-12-08 22:21:16,123 rpm,-264 rpm,57 rpm
2025-12-08 22:21:18,118 rpm,-263 rpm,52 rpm
2025-12-08 22:21:20,112 rpm,-263 rpm,61.8 rpm
2025-12-08 22:21:22,102 rpm,-263 rpm,68 rpm
2025-12-08 22:21:23,119 rpm,-263 rpm,59 rpm
2025-12-08 22:21:25,130 rpm,-265 rpm,54.5 rpm
2025-12-08 22:21:32,118 rpm,-258 rpm,62.5 rpm
2025-12-08 22:21:36,123 rpm,-261 rpm,75 rpm
2025-12-08 22:21:38,119 rpm,-258 rpm,66.5 rpm
2025-12-08 22:21:40,115 rpm,-260 rpm,68.3 rpm
2025-12-08 22:21:42,124 rpm,-267 rpm,74.3 rpm
2025-12-08 22:21:44,122 rpm,-263 rpm,73 rpm
2025-12-08 22:21:46,120 rpm,-262 rpm,75.3 rpm
2025-12-08 22:21:50,121 rpm,-262 rpm,76.3 rpm
2025-12-08 22:21:52,78.8 rpm,-342 rpm,63.8 rpm
2025-12-08 22:21:54,-23.7 rpm,-513 rpm,25.8 rpm
2025-12-08 22:21:55,-14 rpm,-681 rpm,84.5 rpm
2025-12-08 22:22:03,-558 rpm,-986 rpm,155 rpm
2025-12-08 22:22:05,-727 rpm,-816 rpm,89.8 rpm
2025-12-08 22:22:08,-897 rpm,-647 rpm,-46.5 rpm
2025-12-08 22:22:12,-1240 rpm,-315 rpm,40.8 rpm
2025-12-08 22:22:14,-1412 rpm,-149 rpm,54.3 rpm
2025-12-08 22:22:15,-1489 rpm,41.8 rpm,134 rpm
2025-12-08 22:22:17,-1424 rpm,188 rpm,283 rpm
2025-12-08 22:22:17,-1424 rpm,188 rpm,283 rpm
2025-12-08 22:22:20,-1261 rpm,387 rpm,328 rpm
2025-12-08 22:22:22,-1089 rpm,554 rpm,344 rpm
2025-12-08 22:22:24,-916 rpm,724 rpm,392 rpm
2025-12-08 22:22:26,-747 rpm,650 rpm,483 rpm
2025-12-08 22:22:36,29.8 rpm,-159 rpm,364 rpm
2025-12-08 22:22:37,182 rpm,-301 rpm,320 rpm
2025-12-08 22:22:40,393 rpm,-292 rpm,290 rpm
2025-12-08 22:22:42,548 rpm,-270 rpm,282 rpm
2025-12-08 22:22:44,718 rpm,-245 rpm,271 rpm
2025-12-08 22:22:46,889 rpm,-221 rpm,242 rpm
2025-12-08 22:22:48,1060 rpm,-194 rpm,190 rpm
2025-12-08 22:22:48,1060 rpm,-194 rpm,190 rpm
2025-12-08 22:22:50,1231 rpm,-140 rpm,118 rpm
2025-12-08 22:22:52,1383 rpm,-61.7 rpm,36.3 rpm
2025-12-08 22:22:53,1377 rpm,-21.7 rpm,-29.2 rpm
2025-12-08 22:22:55,1219 rpm,-193 rpm,-179 rpm
2025-12-08 22:22:58,1051 rpm,-369 rpm,-384 rpm
2025-12-08 22:23:00,881 rpm,-229 rpm,-368 rpm
2025-12-08 22:23:02,712 rpm,-66 rpm,-271 rpm
2025-12-08 22:23:04,543 rpm,78.3 rpm,-253 rpm
2025-12-08 22:23:05,375 rpm,225 rpm,-249 rpm
2025-12-08 22:23:08,211 rpm,210 rpm,-265 rpm
2025-12-08 22:23:08,211 rpm,210 rpm,-265 rpm
