"Time","X","Y","Z"
2025-12-08 22:19:14,-1.41 °/s,-0.798 °/s,6.50 °/s
2025-12-08 22:19:16,-1.54 °/s,-0.479 °/s,6.54 °/s
2025-12-08 22:19:18,-1.60 °/s,-0.183 °/s,6.52 °/s
2025-12-08 22:19:20,-1.59 °/s,0.130 °/s,6.55 °/s
2025-12-08 22:19:24,-1.43 °/s,0.757 °/s,6.56 °/s
2025-12-08 22:19:26,-1.28 °/s,1.03 °/s,6.53 °/s
2025-12-08 22:19:32,-0.545 °/s,1.62 °/s,6.44 °/s
2025-12-08 22:19:36,0.0538 °/s,1.78 °/s,6.31 °/s
2025-12-08 22:19:36,0.0538 °/s,1.78 °/s,6.31 °/s
2025-12-08 22:19:38,0.365 °/s,1.78 °/s,6.23 °/s
2025-12-08 22:19:40,0.637 °/s,1.72 °/s,6.14 °/s
2025-12-08 22:19:42,0.911 °/s,1.62 °/s,6.01 °/s
2025-12-08 22:19:44,1.18 °/s,1.49 °/s,5.90 °/s
2025-12-08 22:19:46,1.39 °/s,1.31 °/s,5.76 °/s
2025-12-08 22:19:48,1.58 °/s,1.11 °/s,5.65 °/s
2025-12-08 22:19:52,1.83 °/s,0.638 °/s,5.41 °/s
2025-12-08 22:19:54,1.92 °/s,0.389 °/s,5.30 °/s
2025-12-08 22:19:56,1.96 °/s,0.135 °/s,5.20 °/s
2025-12-08 22:20:02,1.90 °/s,-0.480 °/s,5.04 °/s
2025-12-08 22:20:07,1.70 °/s,-0.960 °/s,4.76 °/s
2025-12-08 22:20:09,1.57 °/s,-1.10 °/s,4.62 °/s
2025-12-08 22:20:11,1.36 °/s,-1.36 °/s,4.59 °/s
2025-12-08 22:20:13,2.04 °/s,-1.47 °/s,4.54 °/s
2025-12-08 22:20:15,3.43 °/s,-1.55 °/s,3.40 °/s
2025-12-08 22:20:18,4.54 °/s,-0.0818 °/s,1.97 °/s
2025-12-08 22:20:19,5.81 °/s,0.168 °/s,1.72 °/s
2025-12-08 22:20:21,7.04 °/s,0.393 °/s,-1.54 °/s
2025-12-08 22:20:23,7.95 °/s,1.14 °/s,-4.08 °/s
2025-12-08 22:20:26,7.78 °/s,1.78 °/s,-6.33 °/s
2025-12-08 22:20:32,5.93 °/s,5.70 °/s,-3.85 °/s
2025-12-08 22:20:35,4.33 °/s,5.06 °/s,-0.170 °/s
2025-12-08 22:20:35,4.33 °/s,5.06 °/s,-0.170 °/s
2025-12-08 22:20:37,2.99 °/s,3.99 °/s,0.472 °/s
2025-12-08 22:20:39,1.79 °/s,2.65 °/s,1.59 °/s
2025-12-08 22:20:41,0.602 °/s,1.74 °/s,1.89 °/s
2025-12-08 22:20:43,-0.585 °/s,0.523 °/s,1.15 °/s
2025-12-08 22:20:45,-0.938 °/s,-0.540 °/s,0.0819 °/s
2025-12-08 22:20:47,-0.832 °/s,-0.496 °/s,0.0509 °/s
2025-12-08 22:20:50,-0.907 °/s,-0.324 °/s,-0.508 °/s
2025-12-08 22:20:52,0.385 °/s,-0.231 °/s,0.399 °/s
2025-12-08 22:20:53,0.811 °/s,-0.0520 °/s,0.334 °/s
2025-12-08 22:20:56,0.612 °/s,0.0691 °/s,-1.36 °/s
2025-12-08 22:21:02,-0.0272 °/s,0.0731 °/s,0.477 °/s
2025-12-08 22:21:04,-0.0843 °/s,0.0711 °/s,-0.0275 °/s
2025-12-08 22:21:06,-0.0417 °/s,-0.0299 °/s,0.106 °/s
2025-12-08 22:21:08,-0.0310 °/s,-0.0520 °/s,-0.107 °/s
2025-12-08 22:21:10,-0.0111 °/s,-0.0484 °/s,0.213 °/s
2025-12-08 22:21:12,-0.0123 °/s,0.0228 °/s,0.0715 °/s
2025-12-08 22:21:14,-0.0143 °/s,0.0228 °/s,-0.0995 °/s
2025-12-08 22:21:16,-0.0202 °/s,-0.00148 °/s,0.147 °/s
2025-12-08 22:21:16,-0.0202 °/s,-0.00148 °/s,0.147 °/s
2025-12-08 22:21:18,-0.00550 °/s,-0.00187 °/s,-0.284 °/s
2025-12-08 22:21:20,0.00338 °/s,-0.00250 °/s,-0.0191 °/s
2025-12-08 22:21:22,-0.121 °/s,0.00756 °/s,0.326 °/s
2025-12-08 22:21:23,0.00901 °/s,0.00152 °/s,-0.0219 °/s
2025-12-08 22:21:25,0.0303 °/s,-0.0142 °/s,-0.302 °/s
2025-12-08 22:21:32,-0.0316 °/s,0.0365 °/s,-0.196 °/s
2025-12-08 22:21:36,0.0327 °/s,0.0172 °/s,0.295 °/s
2025-12-08 22:21:38,0.00418 °/s,0.0152 °/s,-0.133 °/s
2025-12-08 22:21:40,-0.0554 °/s,0.0329 °/s,-0.126 °/s
2025-12-08 22:21:42,0.0372 °/s,-0.0612 °/s,0.149 °/s
2025-12-08 22:21:44,0.0164 °/s,-0.0194 °/s,-0.130 °/s
2025-12-08 22:21:46,0.00444 °/s,0.00290 °/s,0.0676 °/s
2025-12-08 22:21:50,-0.00507 °/s,0.00957 °/s,0.0184 °/s
2025-12-08 22:21:52,-0.554 °/s,-0.595 °/s,-2.67 °/s
2025-12-08 22:21:54,-1.20 °/s,-1.96 °/s,0.109 °/s
2025-12-08 22:21:55,-1.14 °/s,-3.22 °/s,1.56 °/s
2025-12-08 22:22:03,-3.68 °/s,-5.53 °/s,7.62 °/s
2025-12-08 22:22:05,-4.48 °/s,-4.50 °/s,4.93 °/s
2025-12-08 22:22:08,-5.52 °/s,-3.46 °/s,3.19 °/s
2025-12-08 22:22:12,-7.68 °/s,-1.87 °/s,5.31 °/s
2025-12-08 22:22:14,-8.93 °/s,-1.08 °/s,5.60 °/s
2025-12-08 22:22:15,-9.64 °/s,-0.837 °/s,7.43 °/s
2025-12-08 22:22:17,-9.52 °/s,-0.0910 °/s,10.6 °/s
2025-12-08 22:22:17,-9.52 °/s,-0.0910 °/s,10.6 °/s
2025-12-08 22:22:20,-8.88 °/s,0.945 °/s,9.52 °/s
2025-12-08 22:22:22,-8.10 °/s,2.22 °/s,7.62 °/s
2025-12-08 22:22:24,-7.11 °/s,3.75 °/s,7.14 °/s
2025-12-08 22:22:26,-5.96 °/s,3.59 °/s,8.73 °/s
2025-12-08 22:22:36,-0.150 °/s,-1.26 °/s,2.75 °/s
2025-12-08 22:22:37,0.713 °/s,-2.25 °/s,1.45 °/s
2025-12-08 22:22:40,2.25 °/s,-2.27 °/s,0.647 °/s
2025-12-08 22:22:42,3.32 °/s,-2.29 °/s,0.818 °/s
2025-12-08 22:22:44,4.46 °/s,-2.31 °/s,1.03 °/s
2025-12-08 22:22:46,5.61 °/s,-2.40 °/s,0.948 °/s
2025-12-08 22:22:48,6.77 °/s,-2.45 °/s,0.552 °/s
2025-12-08 22:22:48,6.77 °/s,-2.45 °/s,0.552 °/s
2025-12-08 22:22:50,8.00 °/s,-2.27 °/s,-0.337 °/s
2025-12-08 22:22:52,9.19 °/s,-1.82 °/s,0.0284 °/s
2025-12-08 22:22:53,9.17 °/s,-1.60 °/s,0.354 °/s
2025-12-08 22:22:55,8.03 °/s,-2.98 °/s,-2.66 °/s
2025-12-08 22:22:58,7.05 °/s,-4.05 °/s,-6.87 °/s
2025-12-08 22:23:00,6.23 °/s,-2.77 °/s,-4.50 °/s
2025-12-08 22:23:02,5.10 °/s,-1.01 °/s,-0.0436 °/s
2025-12-08 22:23:04,3.79 °/s,0.363 °/s,0.942 °/s
2025-12-08 22:23:05,2.39 °/s,1.60 °/s,1.13 °/s
2025-12-08 22:23:08,0.911 °/s,1.55 °/s,0.439 °/s
2025-12-08 22:23:08,0.911 °/s,1.55 °/s,0.439 °/s
2025-12-08 22:23:12,-1.77 °/s,0.237 °/s,-1.95 °/s
2025-12-08 22:23:14,-2.24 °/s,-0.209 °/s,-1.78 °/s
2025-12-08 22:23:16,-1.64 °/s,-0.314 °/s,-0.0593 °/s
2025-12-08 22:23:18,-0.853 °/s,-0.280 °/s,0.345 °/s
2025-12-08 22:23:20,-0.651 °/s,0.0128 °/s,0.0992 °/s
2025-12-08 22:23:22,-0.635 °/s,0.115 °/s,0.0284 °/s
2025-12-08 22:23:24,-0.686 °/s,0.0435 °/s,0.0489 °/s
2025-12-08 22:23:26,-0.700 °/s,0.00489 °/s,0.327 °/s
2025-12-08 22:23:28,-0.0992 °/s,-0.0142 °/s,0.199 °/s
2025-12-08 22:23:30,0.635 °/s,0.0389 °/s,-0.0142 °/s
2025-12-08 22:23:31,1.08 °/s,0.149 °/s,-0.274 °/s
2025-12-08 22:23:33,0.683 °/s,0.245 °/s,-0.0426 °/s
2025-12-08 22:23:35,-0.0445 °/s,0.141 °/s,0.152 °/s
2025-12-08 22:23:35,-0.0445 °/s,0.141 °/s,0.152 °/s
2025-12-08 22:23:38,-0.808 °/s,-0.0331 °/s,-0.258 °/s
2025-12-08 22:23:40,-0.752 °/s,-0.172 °/s,0.116 °/s
2025-12-08 22:23:42,-0.716 °/s,-0.264 °/s,0.270 °/s
2025-12-08 22:23:44,-0.727 °/s,-0.162 °/s,0.109 °/s
2025-12-08 22:23:46,-0.715 °/s,-0.0818 °/s,-0.0740 °/s
2025-12-08 22:23:48,-0.722 °/s,0.0462 °/s,0.200 °/s
2025-12-08 22:23:50,0.0995 °/s,0.134 °/s,0.139 °/s
2025-12-08 22:23:52,1.79 °/s,0.239 °/s,0.196 °/s
2025-12-08 22:23:54,1.28 °/s,0.196 °/s,-0.606 °/s
2025-12-08 22:23:56,0.584 °/s,0.0427 °/s,-0.245 °/s
2025-12-08 22:24:02,0.0705 °/s,-0.0898 °/s,-0.0637 °/s
2025-12-08 22:24:04,0.0542 °/s,-0.0241 °/s,-0.0422 °/s
2025-12-08 22:24:05,0.0424 °/s,-0.0468 °/s,0.00388 °/s
2025-12-08 22:24:10,0.00217 °/s,0.0651 °/s,-0.0714 °/s
2025-12-08 22:24:11,-0.0127 °/s,-0.0576 °/s,0.00267 °/s
2025-12-08 22:24:13,0.00484 °/s,-0.0198 °/s,0.0557 °/s
2025-12-08 22:24:15,0.0142 °/s,0.00313 °/s,-0.0162 °/s
