"Time","q0","q1","q2","q3"
2025-12-15 21:50:08,0.992,-0.00631,-0.00635,0.123
2025-12-15 21:50:10,0.979,-0.0107,-0.0108,0.201
2025-12-15 21:50:12,0.961,-0.0154,-0.0155,0.277
2025-12-15 21:50:14,0.937,-0.0203,-0.0199,0.348
2025-12-15 21:50:16,0.909,-0.0255,-0.0246,0.416
2025-12-15 21:50:18,0.893,-0.0282,-0.0269,0.448
2025-12-15 21:50:20,0.877,-0.0310,-0.0293,0.479
2025-12-15 21:50:22,0.827,-0.0383,-0.0333,0.560
2025-12-15 21:50:24,0.790,-0.0438,-0.0358,0.610
2025-12-15 21:50:26,0.752,-0.0494,-0.0378,0.656
2025-12-15 21:50:28,0.710,-0.0559,-0.0394,0.700
2025-12-15 21:50:30,0.667,-0.0635,-0.0395,0.742
2025-12-15 21:50:32,0.637,-0.0717,-0.0399,0.766
2025-12-15 21:50:34,0.659,-0.0750,-0.0389,0.747
2025-12-15 21:50:36,0.735,-0.0708,-0.0388,0.673
2025-12-15 21:50:38,0.808,-0.0609,-0.0354,0.585
2025-12-15 21:50:40,0.865,-0.0498,-0.0300,0.498
2025-12-15 21:50:42,0.913,-0.0384,-0.0240,0.406
2025-12-15 21:50:44,0.948,-0.0270,-0.0198,0.315
2025-12-15 21:50:46,0.973,-0.0167,-0.0151,0.232
2025-12-15 21:50:48,0.987,-0.00773,-0.0109,0.160
2025-12-15 21:50:50,0.995,-0.000704,-0.00701,0.102
2025-12-15 21:50:52,0.998,0.00464,-0.00455,0.0579
2025-12-15 21:50:54,1.000,0.00773,-0.00172,0.0267
2025-12-15 21:50:56,1.000,0.0100,0.000233,0.00697
2025-12-15 21:50:58,1.000,0.0101,0.00100,-0.00481
2025-12-15 21:51:02,1.000,0.00970,0.00248,-0.0132
2025-12-15 21:51:04,1.000,0.00894,0.00229,-0.0138
2025-12-15 21:51:08,1.000,0.00739,0.00193,-0.0157
2025-12-15 21:51:10,1.000,0.00639,0.00138,-0.0163
2025-12-15 21:51:12,1.000,0.00491,0.000966,-0.0162
2025-12-15 21:51:14,1.000,0.00431,0.00142,-0.0165
2025-12-15 21:51:16,1.000,0.00301,0.000952,-0.0166
2025-12-15 21:51:18,1.000,0.00168,0.000910,-0.0161
2025-12-15 21:51:22,1.000,-0.000109,0.00103,-0.0154
2025-12-15 21:51:26,1.000,-0.000119,0.000576,-0.0154
2025-12-15 21:51:28,1.000,-0.000286,0.000372,-0.0159
2025-12-15 21:51:30,1.000,-0.00140,-0.000205,-0.0163
2025-12-15 21:51:32,1.000,-0.000575,0.000204,-0.0170
2025-12-15 21:51:34,1.000,-0.00180,-0.000254,-0.0164
2025-12-15 21:51:36,1.000,-0.00162,-0.000822,-0.0159
2025-12-15 21:51:48,1.000,-0.0000490,-0.00134,-0.0141
2025-12-15 21:51:50,1.000,0.00137,-0.00161,-0.0140
2025-12-15 21:51:54,1.000,0.00175,-0.00154,-0.0141
2025-12-15 21:51:56,1.000,0.00129,-0.00132,-0.0145
2025-12-15 21:52:00,1.000,0.00165,-0.000682,-0.0157
2025-12-15 21:52:04,1.000,0.00101,-0.000428,-0.0151
2025-12-15 21:52:06,1.000,0.000233,-0.000312,-0.0146
2025-12-15 21:52:10,1.000,0.000632,-0.000732,-0.0138
2025-12-15 21:52:14,1.000,0.0000560,-0.00163,-0.0134
2025-12-15 21:52:16,1.000,-0.000196,-0.00223,-0.0132
2025-12-15 21:52:18,1.000,-0.000507,-0.00233,-0.0134
2025-12-15 21:52:20,-0.514,-0.491,-0.502,-0.492
2025-12-15 21:52:24,-0.645,-0.429,-0.480,-0.411
2025-12-15 21:52:28,-0.812,-0.326,-0.383,-0.295
2025-12-15 21:52:32,-0.927,-0.206,-0.266,-0.164
2025-12-15 21:52:38,-0.991,-0.0681,-0.112,-0.0301
2025-12-15 21:52:40,-0.996,-0.0404,-0.0756,-0.00825
2025-12-15 21:52:44,-0.998,-0.00571,-0.0315,0.0614
2025-12-15 21:52:54,-0.996,0.00592,-0.00839,0.0836
