"Time","X","Y","Z"
2025-12-15 21:50:08,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:10,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:12,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:14,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:16,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:18,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:20,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:22,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:24,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:26,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:28,0 rpm,0 rpm,0 rpm
2025-12-15 21:50:30,0 rpm,11.8 rpm,-11.5 rpm
2025-12-15 21:50:32,0 rpm,31.8 rpm,-15.7 rpm
2025-12-15 21:50:34,65.5 rpm,41.8 rpm,-193 rpm
2025-12-15 21:50:36,119 rpm,46 rpm,-307 rpm
2025-12-15 21:50:38,148 rpm,55 rpm,-291 rpm
2025-12-15 21:50:40,151 rpm,62.5 rpm,-282 rpm
2025-12-15 21:50:42,147 rpm,65.8 rpm,-280 rpm
2025-12-15 21:50:44,132 rpm,67 rpm,-269 rpm
2025-12-15 21:50:46,119 rpm,70.5 rpm,-250 rpm
2025-12-15 21:50:48,101 rpm,70.3 rpm,-226 rpm
2025-12-15 21:50:50,81.8 rpm,66.8 rpm,-202 rpm
2025-12-15 21:50:52,63.5 rpm,65.5 rpm,-178 rpm
2025-12-15 21:50:54,46.8 rpm,63.5 rpm,-158 rpm
2025-12-15 21:50:56,35 rpm,58.5 rpm,-140 rpm
2025-12-15 21:50:58,26.3 rpm,54.3 rpm,-128 rpm
2025-12-15 21:51:02,16.3 rpm,52.8 rpm,-113 rpm
2025-12-15 21:51:04,13 rpm,49.3 rpm,-110 rpm
2025-12-15 21:51:08,9.50 rpm,47 rpm,-108 rpm
2025-12-15 21:51:10,7.75 rpm,47.5 rpm,-108 rpm
2025-12-15 21:51:12,6.75 rpm,50.5 rpm,-108 rpm
2025-12-15 21:51:14,6 rpm,52 rpm,-108 rpm
2025-12-15 21:51:16,5.50 rpm,52.3 rpm,-106 rpm
2025-12-15 21:51:18,5.25 rpm,52 rpm,-106 rpm
2025-12-15 21:51:22,5.50 rpm,53.8 rpm,-106 rpm
2025-12-15 21:51:26,7.25 rpm,55 rpm,-106 rpm
2025-12-15 21:51:28,8 rpm,54.8 rpm,-106 rpm
2025-12-15 21:51:30,8.25 rpm,54.8 rpm,-106 rpm
2025-12-15 21:51:32,9 rpm,54.8 rpm,-106 rpm
2025-12-15 21:51:34,10.5 rpm,54.8 rpm,-103 rpm
2025-12-15 21:51:36,13 rpm,54.8 rpm,-103 rpm
2025-12-15 21:51:48,13 rpm,56.5 rpm,-103 rpm
2025-12-15 21:51:50,12.3 rpm,59 rpm,-103 rpm
2025-12-15 21:51:54,9.50 rpm,59.3 rpm,-104 rpm
2025-12-15 21:51:56,8.50 rpm,59 rpm,-104 rpm
2025-12-15 21:52:00,8.50 rpm,59.3 rpm,-103 rpm
2025-12-15 21:52:04,8 rpm,59.3 rpm,-101 rpm
2025-12-15 21:52:06,7.50 rpm,59.3 rpm,-100 rpm
2025-12-15 21:52:10,8.50 rpm,59.5 rpm,-101 rpm
2025-12-15 21:52:14,8.50 rpm,59.3 rpm,-101 rpm
2025-12-15 21:52:16,8 rpm,60.5 rpm,-101 rpm
2025-12-15 21:52:18,7.50 rpm,63 rpm,-101 rpm
2025-12-15 21:52:20,-12.5 rpm,-40.7 rpm,-146 rpm
2025-12-15 21:52:24,-359 rpm,-409 rpm,-211 rpm
2025-12-15 21:52:28,-531 rpm,-518 rpm,-189 rpm
2025-12-15 21:52:32,-509 rpm,-477 rpm,-137 rpm
2025-12-15 21:52:38,-344 rpm,-322 rpm,-26.2 rpm
2025-12-15 21:52:40,-279 rpm,-254 rpm,-37.2 rpm
2025-12-15 21:52:44,-172 rpm,-146 rpm,-16.2 rpm
2025-12-15 21:52:54,-85.2 rpm,-12.5 rpm,82 rpm
2025-12-15 21:52:58,-85 rpm,-11.7 rpm,85.3 rpm
2025-12-15 21:53:04,-85 rpm,-13.7 rpm,75.5 rpm
2025-12-15 21:53:10,-89.5 rpm,-8.25 rpm,64.8 rpm
2025-12-15 21:53:14,-89.5 rpm,-6.50 rpm,60.8 rpm
2025-12-15 21:53:18,-91.2 rpm,5.25 rpm,60 rpm
2025-12-15 21:53:20,-92.2 rpm,6.50 rpm,58.5 rpm
2025-12-15 21:53:24,-92 rpm,-18.5 rpm,58.5 rpm
2025-12-15 21:53:30,-92 rpm,10.5 rpm,56.5 rpm
2025-12-15 21:53:34,-92 rpm,13.3 rpm,56.5 rpm
2025-12-15 21:53:36,-92 rpm,13.5 rpm,56.5 rpm
2025-12-15 21:53:38,-92 rpm,14.5 rpm,53.3 rpm
2025-12-15 21:53:40,-92 rpm,17.5 rpm,52.5 rpm
2025-12-15 21:53:44,-92 rpm,14.5 rpm,52.3 rpm
2025-12-15 21:53:50,-92 rpm,45.3 rpm,52.3 rpm
2025-12-15 21:53:52,-92 rpm,-19 rpm,52.3 rpm
2025-12-15 21:53:54,-92 rpm,46 rpm,52.3 rpm
2025-12-15 21:53:58,-94.7 rpm,47 rpm,52.3 rpm
2025-12-15 21:54:00,-94.5 rpm,10.8 rpm,52.3 rpm
2025-12-15 21:54:04,-94.5 rpm,10.3 rpm,52 rpm
2025-12-15 21:54:06,-94.5 rpm,9.50 rpm,52 rpm
2025-12-15 21:54:08,-94.5 rpm,9.50 rpm,52.3 rpm
2025-12-15 21:54:10,-94.5 rpm,10.8 rpm,52 rpm
2025-12-15 21:54:12,-94.5 rpm,17.3 rpm,52 rpm
2025-12-15 21:54:14,-94.5 rpm,55.3 rpm,52 rpm
2025-12-15 21:54:18,-94.2 rpm,73.8 rpm,49.3 rpm
2025-12-15 21:54:24,-525 rpm,-397 rpm,-78.7 rpm
2025-12-15 21:54:28,-563 rpm,-595 rpm,-49.7 rpm
2025-12-15 21:54:32,-463 rpm,-581 rpm,-41 rpm
2025-12-15 21:54:34,-393 rpm,-540 rpm,-37 rpm
2025-12-15 21:54:36,-314 rpm,-483 rpm,-31.5 rpm
2025-12-15 21:54:38,-234 rpm,-416 rpm,-30.2 rpm
2025-12-15 21:54:42,-107 rpm,-278 rpm,-21.2 rpm
2025-12-15 21:54:44,-61.5 rpm,-222 rpm,-18 rpm
2025-12-15 21:54:48,12 rpm,-147 rpm,-13.7 rpm
2025-12-15 21:54:50,12 rpm,-124 rpm,-11.7 rpm
2025-12-15 21:54:54,37.8 rpm,-105 rpm,-9.75 rpm
2025-12-15 21:54:58,69.3 rpm,-92.7 rpm,-7.75 rpm
2025-12-15 21:55:02,79.3 rpm,-85.5 rpm,5.25 rpm
2025-12-15 21:55:04,80.5 rpm,-83 rpm,14 rpm
2025-12-15 21:55:08,76.8 rpm,-83.7 rpm,10.5 rpm
2025-12-15 21:55:10,72 rpm,-83.2 rpm,13 rpm
2025-12-15 21:55:14,67 rpm,-83.5 rpm,15.8 rpm
2025-12-15 21:55:16,61.8 rpm,-83.5 rpm,14.3 rpm
2025-12-15 21:55:24,54.8 rpm,-87 rpm,14.3 rpm
2025-12-15 21:55:28,54.8 rpm,-88.2 rpm,12.8 rpm
2025-12-15 21:55:30,54.8 rpm,-88 rpm,12 rpm
2025-12-15 21:55:34,49.8 rpm,-88.2 rpm,11 rpm
2025-12-15 21:55:36,49.5 rpm,-88 rpm,10.5 rpm
2025-12-15 21:55:38,49.5 rpm,-87.7 rpm,10.3 rpm
2025-12-15 21:55:42,49.5 rpm,-88 rpm,9.50 rpm
2025-12-15 21:55:44,49.5 rpm,-87.7 rpm,9.25 rpm
2025-12-15 21:55:48,49.5 rpm,-88.2 rpm,45.8 rpm
2025-12-15 21:55:50,49.5 rpm,-88.2 rpm,7.75 rpm
2025-12-15 21:55:54,46.3 rpm,-87.7 rpm,9.75 rpm
2025-12-15 21:55:58,44 rpm,-88 rpm,7.25 rpm
2025-12-15 21:56:04,41.5 rpm,-85 rpm,11.8 rpm
2025-12-15 21:56:08,44 rpm,-85.5 rpm,13.3 rpm
2025-12-15 21:56:10,44 rpm,-85.5 rpm,10.8 rpm
2025-12-15 21:56:14,40.5 rpm,-80.2 rpm,11 rpm
2025-12-15 21:56:18,40.5 rpm,-80.7 rpm,12.5 rpm
2025-12-15 21:56:22,-196 rpm,-326 rpm,-73.2 rpm
2025-12-15 21:56:24,-395 rpm,-498 rpm,-108 rpm
2025-12-15 21:56:26,-457 rpm,-596 rpm,-134 rpm
2025-12-15 21:56:28,-457 rpm,-603 rpm,-148 rpm
2025-12-15 21:56:30,-439 rpm,-571 rpm,-158 rpm
2025-12-15 21:56:32,-408 rpm,-517 rpm,-166 rpm
2025-12-15 21:56:34,-368 rpm,-446 rpm,-167 rpm
2025-12-15 21:56:38,-264 rpm,-284 rpm,-162 rpm
