"Time","X","Y","Z"
2025-12-15 22:30:06,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 22:30:08,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 22:30:10,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 22:30:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 22:30:14,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 22:30:16,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 22:30:18,-56.8 RPM/s,-19.5 RPM/s,-100 RPM/s
2025-12-15 22:30:20,-60.5 RPM/s,-9.53 RPM/s,-100 RPM/s
2025-12-15 22:30:22,-64.5 RPM/s,-5.46 RPM/s,-100 RPM/s
2025-12-15 22:30:24,-69.5 RPM/s,0.453 RPM/s,-100 RPM/s
2025-12-15 22:30:26,-70.8 RPM/s,-3.37 RPM/s,-100 RPM/s
2025-12-15 22:30:28,-23.0 RPM/s,-4.54 RPM/s,-100 RPM/s
2025-12-15 22:30:30,-22.8 RPM/s,-15.2 RPM/s,-1.39 RPM/s
2025-12-15 22:30:32,-14.6 RPM/s,-8.80 RPM/s,-17.3 RPM/s
2025-12-15 22:30:34,-2.44 RPM/s,-17.2 RPM/s,-4.12 RPM/s
2025-12-15 22:30:36,10.3 RPM/s,-18.3 RPM/s,2.79 RPM/s
2025-12-15 22:30:38,13.8 RPM/s,-23.6 RPM/s,7.50 RPM/s
2025-12-15 22:30:40,12.7 RPM/s,-31.5 RPM/s,10.7 RPM/s
2025-12-15 22:30:42,15.5 RPM/s,-37.7 RPM/s,13.2 RPM/s
2025-12-15 22:30:44,20.1 RPM/s,-32.4 RPM/s,14.7 RPM/s
2025-12-15 22:30:46,17.2 RPM/s,-20.7 RPM/s,14.8 RPM/s
2025-12-15 22:30:48,16.6 RPM/s,-10.5 RPM/s,14.5 RPM/s
2025-12-15 22:30:50,15.1 RPM/s,0.0639 RPM/s,12.4 RPM/s
2025-12-15 22:30:52,15.0 RPM/s,-1.14 RPM/s,10.3 RPM/s
2025-12-15 22:30:54,9.52 RPM/s,7.44 RPM/s,7.63 RPM/s
2025-12-15 22:30:56,7.13 RPM/s,3.66 RPM/s,5.47 RPM/s
2025-12-15 22:30:58,6.60 RPM/s,1.64 RPM/s,4.00 RPM/s
2025-12-15 22:31:00,4.85 RPM/s,2.12 RPM/s,2.72 RPM/s
2025-12-15 22:31:02,-1.76 RPM/s,3.14 RPM/s,2.08 RPM/s
2025-12-15 22:31:04,-0.0705 RPM/s,2.78 RPM/s,2.07 RPM/s
2025-12-15 22:31:06,-1.55 RPM/s,-0.618 RPM/s,2.17 RPM/s
2025-12-15 22:31:08,-2.19 RPM/s,0.292 RPM/s,2.37 RPM/s
2025-12-15 22:31:10,-4.13 RPM/s,-2.20 RPM/s,2.37 RPM/s
2025-12-15 22:31:12,-4.17 RPM/s,-0.826 RPM/s,2.52 RPM/s
2025-12-15 22:31:14,-4.61 RPM/s,-1.86 RPM/s,1.54 RPM/s
2025-12-15 22:31:16,-5.86 RPM/s,-3.82 RPM/s,1.43 RPM/s
2025-12-15 22:31:18,-2.04 RPM/s,-1.03 RPM/s,1.50 RPM/s
