"Time","X","Y","Z"
2025-12-15 22:30:06,0.341 °/s,0.218 °/s,5.60 °/s
2025-12-15 22:30:08,0.376 °/s,0.205 °/s,5.66 °/s
2025-12-15 22:30:10,0.387 °/s,0.178 °/s,5.65 °/s
2025-12-15 22:30:12,0.399 °/s,0.132 °/s,5.64 °/s
2025-12-15 22:30:14,0.415 °/s,0.102 °/s,5.58 °/s
2025-12-15 22:30:16,0.409 °/s,0.102 °/s,5.57 °/s
2025-12-15 22:30:18,0.435 °/s,0.0822 °/s,5.52 °/s
2025-12-15 22:30:20,0.349 °/s,-0.0582 °/s,5.11 °/s
2025-12-15 22:30:22,0.324 °/s,-0.0932 °/s,5.18 °/s
2025-12-15 22:30:24,0.315 °/s,-0.144 °/s,5.10 °/s
2025-12-15 22:30:26,0.267 °/s,-0.0594 °/s,4.98 °/s
2025-12-15 22:30:28,-0.361 °/s,-0.0268 °/s,-0.893 °/s
2025-12-15 22:30:30,-0.355 °/s,0.0782 °/s,-7.42 °/s
2025-12-15 22:30:32,-0.438 °/s,-0.0176 °/s,-6.13 °/s
2025-12-15 22:30:34,-0.565 °/s,0.0995 °/s,-6.81 °/s
2025-12-15 22:30:36,-0.693 °/s,0.120 °/s,-6.94 °/s
2025-12-15 22:30:38,-0.640 °/s,0.202 °/s,-6.76 °/s
2025-12-15 22:30:40,-0.496 °/s,0.320 °/s,-6.27 °/s
2025-12-15 22:30:42,-0.405 °/s,0.402 °/s,-5.58 °/s
2025-12-15 22:30:44,-0.373 °/s,0.271 °/s,-4.75 °/s
2025-12-15 22:30:46,-0.221 °/s,0.0221 °/s,-3.82 °/s
2025-12-15 22:30:48,-0.147 °/s,-0.158 °/s,-2.99 °/s
2025-12-15 22:30:50,-0.0819 °/s,-0.322 °/s,-2.15 °/s
2025-12-15 22:30:52,-0.0696 °/s,-0.217 °/s,-1.47 °/s
2025-12-15 22:30:54,0.0477 °/s,-0.331 °/s,-0.895 °/s
2025-12-15 22:30:56,0.0951 °/s,-0.187 °/s,-0.495 °/s
2025-12-15 22:30:58,0.0903 °/s,-0.0928 °/s,-0.253 °/s
2025-12-15 22:31:00,0.0980 °/s,-0.0694 °/s,-0.0757 °/s
2025-12-15 22:31:02,0.214 °/s,-0.0694 °/s,-0.00286 °/s
2025-12-15 22:31:04,0.130 °/s,-0.0522 °/s,-0.000524 °/s
2025-12-15 22:31:06,0.132 °/s,0.0249 °/s,-0.0117 °/s
2025-12-15 22:31:08,0.113 °/s,0.00420 °/s,-0.0298 °/s
2025-12-15 22:31:10,0.126 °/s,0.0529 °/s,-0.0254 °/s
2025-12-15 22:31:12,0.101 °/s,0.0189 °/s,-0.0347 °/s
2025-12-15 22:31:14,0.0871 °/s,0.0316 °/s,0.0643 °/s
2025-12-15 22:31:16,0.0891 °/s,0.0662 °/s,0.0615 °/s
2025-12-15 22:31:18,-0.0107 °/s,-0.000943 °/s,0.0436 °/s
2025-12-15 22:31:20,0.00262 °/s,0.00380 °/s,0.0591 °/s
2025-12-15 22:31:22,0.0485 °/s,0.0275 °/s,0.0563 °/s
2025-12-15 22:31:24,0.0187 °/s,0.0345 °/s,0.0460 °/s
2025-12-15 22:31:26,-0.00435 °/s,0.0146 °/s,0.0444 °/s
2025-12-15 22:31:28,0.0565 °/s,0.0251 °/s,0.0402 °/s
2025-12-15 22:31:30,-0.0107 °/s,0.00582 °/s,0.0377 °/s
2025-12-15 22:31:32,0.0306 °/s,0.00980 °/s,0.0337 °/s
2025-12-15 22:31:34,0.0453 °/s,0.0143 °/s,0.0233 °/s
