"Time","q0","q1","q2","q3"
2025-12-15 21:58:38.655,-0.902,-0.00873,-0.393,-0.179
2025-12-15 21:58:42.655,-0.965,0.0105,-0.250,-0.0824
2025-12-15 21:58:44.655,-0.982,0.0156,-0.184,-0.0435
2025-12-15 21:58:48.655,-0.996,0.00628,-0.0842,0.0285
2025-12-15 21:58:52.655,-0.996,-0.00863,-0.0290,0.0795
2025-12-15 21:58:54.655,-0.996,-0.0119,-0.0139,0.0900
2025-12-15 21:58:56.655,-0.995,-0.0141,-0.00432,0.0937
2025-12-15 21:58:58.655,-0.996,-0.0140,-0.00114,0.0908
2025-12-15 21:59:02.655,-0.998,-0.00929,0.00821,0.0682
2025-12-15 21:59:04.655,-0.999,-0.00660,0.00972,0.0531
2025-12-15 21:59:06.655,-0.999,-0.00476,0.0108,0.0382
2025-12-15 21:59:08.655,-1.000,-0.00289,0.0112,0.0218
2025-12-15 21:59:12.655,-1.000,0.0000820,0.0121,0.000169
2025-12-15 21:59:14.655,-1.000,0.000960,0.0120,-0.00859
2025-12-15 21:59:16.655,-1.000,0.00137,0.0121,-0.0101
