"Time","X","Y","Z"
2025-12-15 21:58:38.655,15.8 RPM/s,-63.6 RPM/s,11.2 RPM/s
2025-12-15 21:58:42.655,8.05 RPM/s,30.2 RPM/s,14.6 RPM/s
2025-12-15 21:58:44.655,9.70 RPM/s,45.4 RPM/s,12.1 RPM/s
2025-12-15 21:58:48.655,-21.0 RPM/s,46.0 RPM/s,16.8 RPM/s
2025-12-15 21:58:52.655,-30.6 RPM/s,30.3 RPM/s,21.9 RPM/s
2025-12-15 21:58:54.655,-19.8 RPM/s,25.0 RPM/s,17.7 RPM/s
2025-12-15 21:58:56.655,-14.0 RPM/s,17.7 RPM/s,14.8 RPM/s
2025-12-15 21:58:58.655,-9.94 RPM/s,12.0 RPM/s,10.2 RPM/s
2025-12-15 21:59:02.655,-1.05 RPM/s,14.5 RPM/s,0.360 RPM/s
2025-12-15 21:59:04.655,3.63 RPM/s,11.9 RPM/s,0.430 RPM/s
2025-12-15 21:59:06.655,0.390 RPM/s,9.64 RPM/s,-1.85 RPM/s
2025-12-15 21:59:08.655,0.194 RPM/s,10.8 RPM/s,-5.65 RPM/s
2025-12-15 21:59:12.655,3.39 RPM/s,12.4 RPM/s,-4.39 RPM/s
2025-12-15 21:59:14.655,2.74 RPM/s,7.97 RPM/s,-4.28 RPM/s
2025-12-15 21:59:16.655,1.82 RPM/s,7.97 RPM/s,-1.27 RPM/s
