"Time","X","Y","Z"
2025-12-15 21:58:38.655,-140 rpm,-483 rpm,-140 rpm
2025-12-15 21:58:42.655,-103 rpm,-551 rpm,-96.5 rpm
2025-12-15 21:58:44.655,-84.5 rpm,-492 rpm,-67 rpm
2025-12-15 21:58:48.655,-21.7 rpm,-323 rpm,-32.2 rpm
2025-12-15 21:58:52.655,-10 rpm,-174 rpm,14 rpm
2025-12-15 21:58:54.655,-35.7 rpm,-128 rpm,223 rpm
2025-12-15 21:58:56.655,-63.7 rpm,-88.7 rpm,38 rpm
2025-12-15 21:58:58.655,-82.2 rpm,-35 rpm,49.3 rpm
2025-12-15 21:59:02.655,-101 rpm,-40.7 rpm,68.8 rpm
2025-12-15 21:59:04.655,-101 rpm,-30 rpm,70.3 rpm
2025-12-15 21:59:06.655,-98.5 rpm,-22.2 rpm,70.3 rpm
2025-12-15 21:59:08.655,-97 rpm,-16.7 rpm,69.3 rpm
2025-12-15 21:59:12.655,-92 rpm,-10 rpm,58.5 rpm
2025-12-15 21:59:14.655,-89.5 rpm,-10 rpm,53.3 rpm
2025-12-15 21:59:16.655,-86.7 rpm,-6.75 rpm,48.3 rpm
