"Time","X","Y","Z"
2025-12-15 21:58:38.655,-0.418 °/s,-3.85 °/s,-3.40 °/s
2025-12-15 21:58:42.655,-0.0219 °/s,-4.24 °/s,-2.75 °/s
2025-12-15 21:58:44.655,0.0171 °/s,-3.73 °/s,-1.99 °/s
2025-12-15 21:58:48.655,0.572 °/s,-2.33 °/s,-1.47 °/s
2025-12-15 21:58:52.655,0.565 °/s,-1.13 °/s,-1.28 °/s
2025-12-15 21:58:54.655,0.269 °/s,-0.780 °/s,-0.644 °/s
2025-12-15 21:58:56.655,0.104 °/s,-0.467 °/s,-0.256 °/s
2025-12-15 21:58:58.655,0.0123 °/s,-0.290 °/s,0.223 °/s
2025-12-15 21:59:02.655,-0.118 °/s,-0.205 °/s,1.00 °/s
2025-12-15 21:59:04.655,-0.184 °/s,-0.123 °/s,0.764 °/s
2025-12-15 21:59:06.655,-0.0819 °/s,-0.0545 °/s,0.797 °/s
2025-12-15 21:59:08.655,-0.0489 °/s,-0.0755 °/s,0.981 °/s
2025-12-15 21:59:12.655,-0.0763 °/s,-0.0988 °/s,0.505 °/s
2025-12-15 21:59:14.655,-0.0481 °/s,0.00184 °/s,0.359 °/s
2025-12-15 21:59:16.655,-0.0207 °/s,0.00340 °/s,-0.0101 °/s
