"Time","X","Y","Z"
2025-12-15 09:31:12,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:31:14,100 RPM/s,-100 RPM/s,83.9 RPM/s
2025-12-15 09:31:16,77.8 RPM/s,33.9 RPM/s,-32.3 RPM/s
2025-12-15 09:31:18,24.6 RPM/s,-54.7 RPM/s,-19.2 RPM/s
2025-12-15 09:31:20,-43.9 RPM/s,17.7 RPM/s,6.16 RPM/s
2025-12-15 09:31:22,-93.9 RPM/s,72.4 RPM/s,-10.8 RPM/s
2025-12-15 09:31:24,-13.1 RPM/s,60.1 RPM/s,10 RPM/s
2025-12-15 09:31:26,43.9 RPM/s,9.24 RPM/s,-10 RPM/s
2025-12-15 09:31:28,5.39 RPM/s,-10 RPM/s,5.39 RPM/s
2025-12-15 09:31:30,-45.4 RPM/s,33.9 RPM/s,16.2 RPM/s
2025-12-15 09:31:32,-17.7 RPM/s,46.2 RPM/s,12.3 RPM/s
2025-12-15 09:31:34,22.3 RPM/s,-8.47 RPM/s,3.08 RPM/s
2025-12-15 09:31:36,-6.16 RPM/s,-45.4 RPM/s,-24.6 RPM/s
2025-12-15 09:31:38,-25.4 RPM/s,-41.6 RPM/s,-22.3 RPM/s
2025-12-15 09:31:40,-3.85 RPM/s,-26.2 RPM/s,6.16 RPM/s
2025-12-15 09:31:42,3.85 RPM/s,-5.39 RPM/s,2.31 RPM/s
2025-12-15 09:31:44,0 RPM/s,3.85 RPM/s,-0.77 RPM/s
2025-12-15 09:31:46,2.31 RPM/s,0.77 RPM/s,-2.31 RPM/s
2025-12-15 09:31:48,3.08 RPM/s,-1.54 RPM/s,-1.54 RPM/s
2025-12-15 09:31:50,-0.77 RPM/s,-2.31 RPM/s,0.77 RPM/s
2025-12-15 09:31:52,0 RPM/s,-0.77 RPM/s,3.08 RPM/s
2025-12-15 09:31:54,-1.54 RPM/s,-0.77 RPM/s,0 RPM/s
2025-12-15 09:31:56,-1.54 RPM/s,-2.31 RPM/s,0 RPM/s
2025-12-15 09:31:58,-1.54 RPM/s,-1.54 RPM/s,-1.54 RPM/s
2025-12-15 09:32:00,0 RPM/s,-1.54 RPM/s,-2.31 RPM/s
2025-12-15 09:32:02,-0.77 RPM/s,-2.31 RPM/s,-0.77 RPM/s
2025-12-15 09:32:04,0 RPM/s,-3.08 RPM/s,1.54 RPM/s
2025-12-15 09:32:06,0 RPM/s,0 RPM/s,1.54 RPM/s
2025-12-15 09:32:08,0 RPM/s,3.85 RPM/s,0 RPM/s
2025-12-15 09:32:10,0 RPM/s,2.31 RPM/s,-1.54 RPM/s
2025-12-15 09:32:12,0 RPM/s,0 RPM/s,-2.31 RPM/s
2025-12-15 09:32:14,0.77 RPM/s,0 RPM/s,-3.08 RPM/s
2025-12-15 09:32:16,0 RPM/s,-1.54 RPM/s,0 RPM/s
2025-12-15 09:32:18,0.77 RPM/s,-3.08 RPM/s,3.08 RPM/s
2025-12-15 09:32:20,2.31 RPM/s,-0.77 RPM/s,0.77 RPM/s
2025-12-15 09:32:22,1.54 RPM/s,0 RPM/s,0 RPM/s
2025-12-15 09:32:24,1.54 RPM/s,0.77 RPM/s,0 RPM/s
2025-12-15 09:32:26,1.54 RPM/s,0.77 RPM/s,-0.77 RPM/s
2025-12-15 09:32:28,2.31 RPM/s,1.54 RPM/s,-1.54 RPM/s
