"Time","X","Y","Z"
2025-12-15 09:31:12,0 rpm,0 rpm,0 rpm
2025-12-15 09:31:14,200 rpm,-200 rpm,185 rpm
2025-12-15 09:31:16,378 rpm,-179 rpm,191 rpm
2025-12-15 09:31:18,418 rpm,-218 rpm,105 rpm
2025-12-15 09:31:20,374 rpm,-259 rpm,133 rpm
2025-12-15 09:31:22,200 rpm,-115 rpm,103 rpm
2025-12-15 09:31:24,122 rpm,8.7 rpm,134 rpm
2025-12-15 09:31:26,192 rpm,62.7 rpm,102 rpm
2025-12-15 09:31:28,236 rpm,35.7 rpm,121 rpm
2025-12-15 09:31:30,162 rpm,83.5 rpm,134 rpm
2025-12-15 09:31:32,105 rpm,176 rpm,178 rpm
2025-12-15 09:31:34,135 rpm,194 rpm,178 rpm
2025-12-15 09:31:36,144 rpm,111 rpm,149 rpm
2025-12-15 09:31:38,94.6 rpm,25.7 rpm,95.9 rpm
2025-12-15 09:31:40,74.5 rpm,-36.7 rpm,96.7 rpm
2025-12-15 09:31:42,81.5 rpm,-56.8 rpm,104 rpm
2025-12-15 09:31:44,81.5 rpm,-52.9 rpm,104 rpm
2025-12-15 09:31:46,81.5 rpm,-49.8 rpm,104 rpm
2025-12-15 09:31:48,87.6 rpm,-49.8 rpm,101 rpm
2025-12-15 09:31:50,87.6 rpm,-53.7 rpm,101 rpm
2025-12-15 09:31:52,87.6 rpm,-53.7 rpm,104 rpm
2025-12-15 09:31:54,87.6 rpm,-53.7 rpm,104 rpm
2025-12-15 09:31:56,87.6 rpm,-53.7 rpm,104 rpm
2025-12-15 09:31:58,84.5 rpm,-53.7 rpm,104 rpm
2025-12-15 09:32:00,84.5 rpm,-53.7 rpm,104 rpm
2025-12-15 09:32:02,84.5 rpm,-53.7 rpm,101 rpm
2025-12-15 09:32:04,84.5 rpm,-60.6 rpm,101 rpm
2025-12-15 09:32:06,84.5 rpm,-60.6 rpm,104 rpm
2025-12-15 09:32:08,84.5 rpm,-56.8 rpm,104 rpm
2025-12-15 09:32:10,84.5 rpm,-52.9 rpm,104 rpm
2025-12-15 09:32:12,84.5 rpm,-52.9 rpm,104 rpm
2025-12-15 09:32:14,84.5 rpm,-52.9 rpm,101 rpm
2025-12-15 09:32:16,84.5 rpm,-52.9 rpm,101 rpm
2025-12-15 09:32:18,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:20,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:22,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:24,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:26,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:28,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:30,84.5 rpm,-56 rpm,104 rpm
2025-12-15 09:32:32,84.5 rpm,-52.9 rpm,101 rpm
2025-12-15 09:32:34,87.6 rpm,-52.9 rpm,101 rpm
2025-12-15 09:32:36,90.7 rpm,-52.9 rpm,105 rpm
2025-12-15 09:32:38,83.8 rpm,-52.9 rpm,105 rpm
2025-12-15 09:32:40,83.8 rpm,-52.9 rpm,105 rpm
2025-12-15 09:32:42,83.8 rpm,-52.9 rpm,105 rpm
2025-12-15 09:32:44,83.8 rpm,-52.9 rpm,105 rpm
2025-12-15 09:32:46,83.8 rpm,-52.9 rpm,105 rpm
2025-12-15 09:32:48,83.8 rpm,-52.9 rpm,102 rpm
2025-12-15 09:32:50,83.8 rpm,-52.9 rpm,102 rpm
2025-12-15 09:32:52,86.9 rpm,-52.9 rpm,106 rpm
2025-12-15 09:32:54,86.9 rpm,-52.9 rpm,106 rpm
2025-12-15 09:32:56,86.9 rpm,-52.9 rpm,106 rpm
2025-12-15 09:32:58,86.9 rpm,-52.9 rpm,106 rpm
2025-12-15 09:33:00,83.8 rpm,-52.9 rpm,106 rpm
2025-12-15 09:33:02,83.8 rpm,-52.9 rpm,103 rpm
2025-12-15 09:33:04,83.8 rpm,-52.9 rpm,103 rpm
2025-12-15 09:33:06,83.8 rpm,-52.9 rpm,106 rpm
2025-12-15 09:33:08,83.8 rpm,-52.9 rpm,106 rpm
2025-12-15 09:33:10,83.8 rpm,-52.9 rpm,106 rpm
