"Time","q0","q1","q2","q3"
2025-12-15 09:31:12,0.906,-0.0976,0.0253,-0.41
2025-12-15 09:31:14,0.906,-0.105,0.0115,-0.411
2025-12-15 09:31:16,0.933,-0.0921,-0.0179,-0.346
2025-12-15 09:31:18,0.945,-0.0644,-0.052,-0.317
2025-12-15 09:31:20,0.951,-0.0395,-0.0974,-0.289
2025-12-15 09:31:22,0.956,-0.0275,-0.128,-0.262
2025-12-15 09:31:24,0.963,-0.0304,-0.134,-0.233
2025-12-15 09:31:26,0.97,-0.0284,-0.126,-0.207
2025-12-15 09:31:28,0.976,-0.0161,-0.119,-0.182
2025-12-15 09:31:30,0.982,-0.00623,-0.11,-0.154
2025-12-15 09:31:32,0.99,-0.00656,-0.0881,-0.107
2025-12-15 09:31:34,0.997,-0.00659,-0.0548,-0.0535
2025-12-15 09:31:36,1,-0.000891,-0.0258,-0.00864
2025-12-15 09:31:38,1,0.00306,-0.00841,0.0039
2025-12-15 09:31:40,1,0.00231,-0.00171,-0.0014
2025-12-15 09:31:42,1,0.0011,-0.000856,-0.0015
2025-12-15 09:31:44,1,0.000415,-0.000922,-0.00042
2025-12-15 09:31:46,1,-0.000236,-0.000219,0.00065
2025-12-15 09:31:48,1,-0.000422,0.000608,0.00023
2025-12-15 09:31:50,1,-0.000168,0.000994,-0.00076
2025-12-15 09:31:52,1,8.57e-05,0.0012,-0.00135
2025-12-15 09:31:54,1,0.000356,0.0014,-0.00061
2025-12-15 09:31:56,1,0.00065,0.00159,6e-05
2025-12-15 09:31:58,1,0.000644,0.00179,0.00068
2025-12-15 09:32:00,1,0.000551,0.00199,0.00125
2025-12-15 09:32:02,1,0.000468,0.00219,0.00037
2025-12-15 09:32:04,1,0.000371,0.00183,-0.001
2025-12-15 09:32:06,1,0.00025,0.000981,-0.00092
2025-12-15 09:32:08,1,0.00012,0.000274,-0.00031
2025-12-15 09:32:10,1,-1.7e-06,0.000392,0.00031
2025-12-15 09:32:12,1,-0.000102,0.000652,0.00088
2025-12-15 09:32:14,1,-0.00018,0.000917,0.00093
2025-12-15 09:32:16,1,-0.00026,0.00115,-0.00048
2025-12-15 09:32:18,1,-0.000347,0.00124,-0.00146
2025-12-15 09:32:20,1,-0.000431,0.000994,-0.00106
2025-12-15 09:32:22,1,-0.00051,0.000749,-0.00065
2025-12-15 09:32:24,1,-0.000584,0.000505,-0.00025
2025-12-15 09:32:26,1,-0.000652,0.000264,0.00014
2025-12-15 09:32:28,1,-0.000714,2.37e-05,0.00054
2025-12-15 09:32:30,1,-0.000771,-0.000215,0.00093
2025-12-15 09:32:32,1,-0.000827,-0.00014,-0.0001
2025-12-15 09:32:34,1,-0.000786,-6e-07,-0.00165
2025-12-15 09:32:36,1,-0.000107,9.77e-05,-0.00151
2025-12-15 09:32:38,1,0.00019,0.000183,-0.00087
2025-12-15 09:32:40,1,4.88e-05,0.000275,-0.00027
2025-12-15 09:32:42,1,-7.39e-05,0.000375,0.0003
2025-12-15 09:32:44,1,-0.000179,0.000481,0.00082
2025-12-15 09:32:46,1,-0.000266,0.000593,0.00131
2025-12-15 09:32:48,1,-0.000346,0.000696,0.00035
2025-12-15 09:32:50,1,-0.000437,0.000759,-0.00112
2025-12-15 09:32:52,1,-0.000433,0.000782,-0.00203
2025-12-15 09:32:54,1,-9.73e-05,0.000793,-0.00125
2025-12-15 09:32:56,1,0.000257,0.000803,-0.00052
2025-12-15 09:32:58,1,0.000628,0.000809,0.00015
2025-12-15 09:33:00,1,0.000694,0.000813,0.00077
2025-12-15 09:33:02,1,0.00066,0.000811,-6e-05
2025-12-15 09:33:04,1,0.000613,0.000773,-0.00138
2025-12-15 09:33:06,1,0.000561,0.000707,-0.00133
2025-12-15 09:33:08,1,0.00052,0.000643,-0.00084
2025-12-15 09:33:10,1,0.000492,0.000582,-0.00037
2025-12-15 09:33:12,1,0.000475,0.000524,6e-05
2025-12-15 09:33:14,1,0.000469,0.000467,0.00046
2025-12-15 09:33:16,1,0.000474,0.00041,0.00083
2025-12-15 09:33:18,1,0.000489,0.000351,0.0007
2025-12-15 09:33:20,1,0.000493,0.000259,-0.00087
2025-12-15 09:33:22,1,0.000479,0.000123,-0.00187
2025-12-15 09:33:24,1,0.000468,-2.02e-05,-0.00115
2025-12-15 09:33:26,1,0.000472,-4.7e-05,-0.00045
2025-12-15 09:33:28,1,0.000497,0.000259,0.00018
2025-12-15 09:33:30,1,0.000548,0.000569,0.00075
2025-12-15 09:33:32,1,0.00062,0.00088,0.00077
2025-12-15 09:33:34,1,0.000695,0.00116,-0.00068
2025-12-15 09:33:36,1,0.00076,0.00107,-0.00161
2025-12-15 09:33:38,1,0.000831,0.000864,-0.00081
2025-12-15 09:33:40,1,0.000914,0.000664,-4e-05
2025-12-15 09:33:42,0.354,0.612,-0.354,-0.612
2025-12-15 09:33:44,0.382,0.607,-0.355,-0.6
2025-12-15 09:33:46,0.431,0.61,-0.322,-0.581
2025-12-15 09:33:48,0.494,0.621,-0.25,-0.555
2025-12-15 09:33:50,0.558,0.633,-0.13,-0.52
2025-12-15 09:33:52,0.617,0.619,0.0193,-0.485
2025-12-15 09:33:54,0.672,0.571,0.15,-0.447
2025-12-15 09:33:56,0.703,0.515,0.252,-0.42
2025-12-15 09:33:58,0.726,0.464,0.313,-0.401
2025-12-15 09:34:00,0.743,0.421,0.338,-0.395
2025-12-15 09:34:02,0.761,0.392,0.328,-0.399
2025-12-15 09:34:04,0.769,0.379,0.304,-0.414
2025-12-15 09:34:06,0.777,0.374,0.285,-0.419
2025-12-15 09:34:08,0.785,0.368,0.272,-0.418
2025-12-15 09:34:10,0.792,0.363,0.262,-0.416
2025-12-15 09:34:12,0.798,0.358,0.254,-0.414
2025-12-15 09:34:14,0.804,0.353,0.248,-0.41
2025-12-15 09:34:16,0.809,0.347,0.243,-0.407
2025-12-15 09:34:18,0.815,0.341,0.238,-0.402
2025-12-15 09:34:20,0.821,0.335,0.234,-0.398
2025-12-15 09:34:22,0.827,0.329,0.23,-0.394
2025-12-15 09:34:24,0.832,0.323,0.226,-0.39
2025-12-15 09:34:26,0.838,0.316,0.222,-0.385
2025-12-15 09:34:28,0.844,0.31,0.218,-0.38
2025-12-15 09:34:30,0.85,0.303,0.214,-0.375
2025-12-15 09:34:32,0.856,0.296,0.21,-0.37
2025-12-15 09:34:34,0.861,0.289,0.206,-0.364
2025-12-15 09:34:36,0.867,0.281,0.201,-0.358
2025-12-15 09:34:38,0.873,0.273,0.197,-0.352
2025-12-15 09:34:40,0.88,0.265,0.191,-0.345
2025-12-15 09:34:42,0.886,0.256,0.186,-0.339
2025-12-15 09:34:44,0.893,0.246,0.179,-0.331
2025-12-15 09:34:46,0.9,0.236,0.173,-0.324
2025-12-15 09:34:48,0.907,0.225,0.165,-0.316
2025-12-15 09:34:50,0.914,0.213,0.157,-0.307
2025-12-15 09:34:52,0.921,0.2,0.148,-0.298
2025-12-15 09:34:54,0.929,0.187,0.138,-0.288
2025-12-15 09:34:56,0.937,0.173,0.126,-0.276
2025-12-15 09:34:58,0.945,0.157,0.114,-0.263
2025-12-15 09:35:00,0.953,0.14,0.1,-0.249
2025-12-15 09:35:02,0.961,0.121,0.0845,-0.233
2025-12-15 09:35:04,0.969,0.102,0.0664,-0.215
2025-12-15 09:35:06,0.977,0.0821,0.0473,-0.192
2025-12-15 09:35:08,0.984,0.0605,0.0276,-0.163
2025-12-15 09:35:10,0.991,0.0396,0.00885,-0.126
2025-12-15 09:35:12,0.997,0.0212,-0.00581,-0.08
2025-12-15 09:35:14,1,0.00737,-0.0108,-0.0276
2025-12-15 09:35:16,1,0.000509,-0.00544,0.00704
2025-12-15 09:35:18,1,-0.000705,0.00118,0.0027
2025-12-15 09:35:20,1,0.00111,0.00102,-0.00372
2025-12-15 09:35:22,1,0.0019,-0.00138,0.00119
2025-12-15 09:35:24,1,2.9e-05,-0.000409,0.00076
2025-12-15 09:35:26,1,-0.000924,0.0012,-0.00137
2025-12-15 09:35:28,1,-0.000196,0.00116,-0.00028
2025-12-15 09:35:30,1,0.000544,0.000851,0.00118
2025-12-15 09:35:32,1,0.000351,0.00062,0.00116
2025-12-15 09:35:34,1,7.1e-06,0.000711,0.00067
2025-12-15 09:35:36,1,-0.00033,0.000802,0.00018
2025-12-15 09:35:38,1,-0.000527,0.000891,-0.0003
2025-12-15 09:35:40,1,-0.000316,0.000988,-0.00079
2025-12-15 09:35:42,1,-9.78e-05,0.0011,-0.00131
2025-12-15 09:35:44,1,0.000134,0.0012,-0.00044
2025-12-15 09:35:46,1,0.000396,0.00127,0.00087
2025-12-15 09:35:48,1,0.000686,0.0013,0.00156
2025-12-15 09:35:50,1,0.000661,0.00134,0.00047
2025-12-15 09:35:52,1,0.000531,0.0014,-0.00063
2025-12-15 09:35:54,1,0.000401,0.00149,-0.00127
2025-12-15 09:35:56,1,0.00029,0.00155,-0.00051
2025-12-15 09:35:58,1,0.000203,0.00158,0.00024
2025-12-15 09:36:00,1,0.000141,0.00158,0.00096
2025-12-15 09:36:02,1,0.000104,0.00155,0.00167
2025-12-15 09:36:04,1,8.27e-05,0.0015,0.00094
2025-12-15 09:36:06,1,6.36e-05,0.00148,-0.00028
2025-12-15 09:36:08,1,4.68e-05,0.00149,-0.00106
2025-12-15 09:36:10,1,4.89e-05,0.00149,-0.00046
2025-12-15 09:36:12,0.0076,-0.0868,-0.0868,0.992
2025-12-15 09:36:14,0.0563,-0.073,-0.105,0.99
2025-12-15 09:36:16,0.158,-0.0643,-0.154,0.973
2025-12-15 09:36:18,0.29,-0.0686,-0.23,0.927
2025-12-15 09:36:20,0.429,-0.0894,-0.322,0.839
2025-12-15 09:36:22,0.553,-0.134,-0.409,0.713
2025-12-15 09:36:24,0.636,-0.204,-0.469,0.577
2025-12-15 09:36:26,0.67,-0.293,-0.498,0.467
2025-12-15 09:36:28,0.68,-0.375,-0.506,0.375
2025-12-15 09:36:30,0.686,-0.425,-0.513,0.293
2025-12-15 09:36:32,0.681,-0.448,-0.526,0.242
2025-12-15 09:36:34,0.681,-0.454,-0.533,0.216
2025-12-15 09:36:36,0.707,-0.439,-0.522,0.187
2025-12-15 09:36:38,0.748,-0.407,-0.496,0.167
2025-12-15 09:36:40,0.801,-0.361,-0.453,0.152
2025-12-15 09:36:42,0.857,-0.319,-0.382,0.135
2025-12-15 09:36:44,0.907,-0.271,-0.299,0.121
