"Time","X","Y","Z"
2025-12-15 09:31:12,-0.822 °/s,-0.0569 °/s,-3.53 °/s
2025-12-15 09:31:14,0.722 °/s,-1.68 °/s,3.03 °/s
2025-12-15 09:31:16,2.11 °/s,-1.44 °/s,3.47 °/s
2025-12-15 09:31:18,2.4 °/s,-1.77 °/s,0.648 °/s
2025-12-15 09:31:20,2 °/s,-2.1 °/s,1.93 °/s
2025-12-15 09:31:22,0.576 °/s,-0.917 °/s,1.12 °/s
2025-12-15 09:31:24,-0.039 °/s,0.131 °/s,2.23 °/s
2025-12-15 09:31:26,0.523 °/s,0.635 °/s,1.04 °/s
2025-12-15 09:31:28,0.911 °/s,0.446 °/s,1.59 °/s
2025-12-15 09:31:30,0.332 °/s,0.858 °/s,1.95 °/s
2025-12-15 09:31:32,-0.0912 °/s,1.71 °/s,3.3 °/s
2025-12-15 09:31:34,0.249 °/s,1.92 °/s,3.01 °/s
2025-12-15 09:31:36,0.396 °/s,1.32 °/s,1.82 °/s
2025-12-15 09:31:38,0.076 °/s,0.65 °/s,-0.15 °/s
2025-12-15 09:31:40,-0.0922 °/s,0.151 °/s,-0.154 °/s
2025-12-15 09:31:42,-0.032 °/s,-0.023 °/s,0.0932 °/s
2025-12-15 09:31:44,-0.028 °/s,-0.00285 °/s,0.0999 °/s
2025-12-15 09:31:46,-0.0315 °/s,0.0399 °/s,0.1 °/s
2025-12-15 09:31:48,0.0243 °/s,0.0441 °/s,-0.0254 °/s
2025-12-15 09:31:50,-0.00229 °/s,-0.0229 °/s,-0.0288 °/s
2025-12-15 09:31:52,0.0225 °/s,0.0077 °/s,0.091 °/s
2025-12-15 09:31:54,0.00187 °/s,-0.0178 °/s,0.0722 °/s
2025-12-15 09:31:56,0.025 °/s,-0.00309 °/s,0.0731 °/s
2025-12-15 09:31:58,-0.035 °/s,0.019 °/s,0.0789 °/s
2025-12-15 09:32:00,-0.00872 °/s,-0.00925 °/s,0.0899 °/s
2025-12-15 09:32:02,-0.0158 °/s,0.00514 °/s,-0.0345 °/s
2025-12-15 09:32:04,-0.00259 °/s,-0.0481 °/s,-0.0261 °/s
2025-12-15 09:32:06,-0.0258 °/s,-0.0589 °/s,0.109 °/s
2025-12-15 09:32:08,-0.0235 °/s,-0.0423 °/s,0.0859 °/s
2025-12-15 09:32:10,0.00135 °/s,0.00486 °/s,0.0711 °/s
2025-12-15 09:32:12,-0.00478 °/s,-0.00492 °/s,0.0775 °/s
2025-12-15 09:32:14,0.00814 °/s,-0.00693 °/s,-0.0448 °/s
2025-12-15 09:32:16,-0.0157 °/s,0.00653 °/s,-0.0312 °/s
2025-12-15 09:32:18,-0.0215 °/s,-0.0335 °/s,0.0865 °/s
2025-12-15 09:32:20,-0.00031 °/s,-0.0192 °/s,0.0515 °/s
2025-12-15 09:32:22,-0.00457 °/s,-0.0274 °/s,0.0744 °/s
2025-12-15 09:32:24,-0.0173 °/s,-0.0209 °/s,0.0616 °/s
2025-12-15 09:32:26,-0.00951 °/s,-0.0174 °/s,0.0685 °/s
2025-12-15 09:32:28,0.00136 °/s,-0.0128 °/s,0.0383 °/s
2025-12-15 09:32:30,-0.0304 °/s,-0.0261 °/s,0.0749 °/s
2025-12-15 09:32:32,-0.0193 °/s,-0.00664 °/s,-0.0495 °/s
2025-12-15 09:32:34,-0.0119 °/s,0.00099 °/s,-0.0769 °/s
2025-12-15 09:32:36,0.0644 °/s,-0.00803 °/s,0.0833 °/s
2025-12-15 09:32:38,-0.0197 °/s,-0.0119 °/s,0.0898 °/s
2025-12-15 09:32:40,-0.0206 °/s,-0.0051 °/s,0.0818 °/s
2025-12-15 09:32:42,-0.00094 °/s,-0.00957 °/s,0.0845 °/s
2025-12-15 09:32:44,-0.0413 °/s,-0.0142 °/s,0.077 °/s
2025-12-15 09:32:46,0.00679 °/s,0.00491 °/s,0.0625 °/s
2025-12-15 09:32:48,-0.0151 °/s,-0.0105 °/s,-0.0438 °/s
2025-12-15 09:32:50,-0.00785 °/s,-0.00449 °/s,-0.0238 °/s
2025-12-15 09:32:52,0.00994 °/s,-0.00498 °/s,0.0968 °/s
2025-12-15 09:32:54,0.0318 °/s,-0.0167 °/s,0.08 °/s
2025-12-15 09:32:56,0.0117 °/s,-0.00698 °/s,0.0804 °/s
2025-12-15 09:32:58,0.0158 °/s,-0.0238 °/s,0.0863 °/s
2025-12-15 09:33:00,-0.00187 °/s,-0.0217 °/s,0.102 °/s
2025-12-15 09:33:02,0.0153 °/s,-0.00833 °/s,-0.0362 °/s
2025-12-15 09:33:04,-0.0112 °/s,-0.0213 °/s,-0.0172 °/s
2025-12-15 09:33:06,-0.0203 °/s,0.00181 °/s,0.0637 °/s
2025-12-15 09:33:08,0.00615 °/s,-0.00154 °/s,0.056 °/s
2025-12-15 09:33:10,-0.0297 °/s,-0.0249 °/s,0.072 °/s
2025-12-15 09:33:12,-0.00735 °/s,-0.0203 °/s,0.0716 °/s
2025-12-15 09:33:14,-0.0131 °/s,-0.00327 °/s,0.0642 °/s
2025-12-15 09:33:16,-0.00505 °/s,-0.0232 °/s,0.0672 °/s
2025-12-15 09:33:18,0.0032 °/s,-0.0101 °/s,-0.0467 °/s
2025-12-15 09:33:20,0.0238 °/s,-0.0299 °/s,-0.0325 °/s
2025-12-15 09:33:22,-0.0171 °/s,-0.0113 °/s,0.075 °/s
2025-12-15 09:33:24,-0.00139 °/s,-0.0171 °/s,0.1 °/s
2025-12-15 09:33:26,-0.00308 °/s,-0.00248 °/s,0.0965 °/s
2025-12-15 09:33:28,0.00313 °/s,0.00641 °/s,0.1 °/s
2025-12-15 09:33:30,0.00117 °/s,0.00859 °/s,0.0764 °/s
2025-12-15 09:33:32,-0.00947 °/s,0.00705 °/s,-0.0449 °/s
2025-12-15 09:33:34,0.00561 °/s,0.0222 °/s,-0.0388 °/s
2025-12-15 09:33:36,0.0128 °/s,-0.00635 °/s,0.0791 °/s
2025-12-15 09:33:38,-0.00961 °/s,-0.00022 °/s,0.0928 °/s
