"Time","X","Y","Z"
2025-12-17 20:46:21,0 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:46:23,100 RPM/s,-100 RPM/s,23.9 RPM/s
2025-12-17 20:46:25,97 RPM/s,-3.85 RPM/s,-12.3 RPM/s
2025-12-17 20:46:27,-19.2 RPM/s,-97 RPM/s,5.39 RPM/s
2025-12-17 20:46:29,-100 RPM/s,56.2 RPM/s,9.24 RPM/s
2025-12-17 20:46:31,-85.5 RPM/s,93.9 RPM/s,24.6 RPM/s
2025-12-17 20:46:33,29.3 RPM/s,53.1 RPM/s,-47.7 RPM/s
2025-12-17 20:46:35,19.2 RPM/s,-39.3 RPM/s,-30.8 RPM/s
2025-12-17 20:46:37,-3.08 RPM/s,-31.6 RPM/s,36.2 RPM/s
2025-12-17 20:46:39,-27.7 RPM/s,29.3 RPM/s,-12.3 RPM/s
2025-12-17 20:46:41,4.62 RPM/s,10 RPM/s,-1.54 RPM/s
2025-12-17 20:46:43,12.3 RPM/s,-12.3 RPM/s,2.31 RPM/s
2025-12-17 20:46:45,-3.08 RPM/s,-2.31 RPM/s,2.31 RPM/s
2025-12-17 20:46:47,-4.62 RPM/s,2.31 RPM/s,1.54 RPM/s
2025-12-17 20:46:49,0 RPM/s,2.31 RPM/s,0.77 RPM/s
2025-12-17 20:46:51,3.08 RPM/s,0 RPM/s,0.77 RPM/s
2025-12-17 20:46:53,0 RPM/s,0.77 RPM/s,0 RPM/s
2025-12-17 20:46:55,0 RPM/s,0.77 RPM/s,0 RPM/s
2025-12-17 20:46:57,0 RPM/s,0.77 RPM/s,0 RPM/s
2025-12-17 20:46:59,-0.77 RPM/s,0.77 RPM/s,0 RPM/s
2025-12-17 20:47:01,0 RPM/s,2.31 RPM/s,0 RPM/s
2025-12-17 20:47:03,-0.77 RPM/s,2.31 RPM/s,0 RPM/s
2025-12-17 20:47:05,0 RPM/s,0 RPM/s,0.77 RPM/s
2025-12-17 20:47:07,0 RPM/s,0.77 RPM/s,0.77 RPM/s
2025-12-17 20:47:09,0 RPM/s,0.77 RPM/s,1.54 RPM/s
2025-12-17 20:47:11,-0.77 RPM/s,0 RPM/s,2.31 RPM/s
2025-12-17 20:47:13,-0.77 RPM/s,0 RPM/s,3.08 RPM/s
2025-12-17 20:47:15,0 RPM/s,0 RPM/s,-0.77 RPM/s
2025-12-17 20:47:17,-1.54 RPM/s,1.54 RPM/s,-3.08 RPM/s
2025-12-17 20:47:19,-1.54 RPM/s,0.77 RPM/s,0 RPM/s
2025-12-17 20:47:21,-2.31 RPM/s,0 RPM/s,0.77 RPM/s
2025-12-17 20:47:23,-0.77 RPM/s,0 RPM/s,2.31 RPM/s
2025-12-17 20:47:25,-2.31 RPM/s,0 RPM/s,0.77 RPM/s
2025-12-17 20:47:27,-3.08 RPM/s,0 RPM/s,-1.54 RPM/s
2025-12-17 20:47:29,0 RPM/s,0 RPM/s,-0.77 RPM/s
2025-12-17 20:47:31,0.77 RPM/s,0 RPM/s,0 RPM/s
2025-12-17 20:47:33,0.77 RPM/s,0 RPM/s,0.77 RPM/s
2025-12-17 20:47:35,2.31 RPM/s,-1.54 RPM/s,2.31 RPM/s
2025-12-17 20:47:37,3.85 RPM/s,-1.54 RPM/s,0.77 RPM/s
2025-12-17 20:47:39,0 RPM/s,-1.54 RPM/s,-0.77 RPM/s
2025-12-17 20:47:41,-0.77 RPM/s,0 RPM/s,-3.08 RPM/s
2025-12-17 20:47:43,-0.77 RPM/s,-0.77 RPM/s,0 RPM/s
2025-12-17 20:47:45,-0.77 RPM/s,-2.31 RPM/s,2.31 RPM/s
2025-12-17 20:47:47,-1.54 RPM/s,-2.31 RPM/s,1.54 RPM/s
2025-12-17 20:47:49,0 RPM/s,-1.54 RPM/s,0 RPM/s
2025-12-17 20:47:51,0 RPM/s,-2.31 RPM/s,-0.77 RPM/s
2025-12-17 20:47:53,0 RPM/s,-1.54 RPM/s,-1.54 RPM/s
2025-12-17 20:47:55,0 RPM/s,-1.54 RPM/s,-2.31 RPM/s
2025-12-17 20:47:57,0 RPM/s,-2.31 RPM/s,-3.08 RPM/s
2025-12-17 20:47:59,1.54 RPM/s,-3.85 RPM/s,0.77 RPM/s
2025-12-17 20:48:01,1.54 RPM/s,-0.77 RPM/s,3.08 RPM/s
2025-12-17 20:48:03,0 RPM/s,1.54 RPM/s,0.77 RPM/s
2025-12-17 20:48:05,0 RPM/s,3.85 RPM/s,0 RPM/s
2025-12-17 20:48:07,1.54 RPM/s,0.77 RPM/s,-0.77 RPM/s
2025-12-17 20:48:09,2.31 RPM/s,0 RPM/s,-0.77 RPM/s
2025-12-17 20:48:11,1.54 RPM/s,0 RPM/s,-2.31 RPM/s
2025-12-17 20:48:13,0.77 RPM/s,0 RPM/s,-1.54 RPM/s
2025-12-17 20:48:15,2.31 RPM/s,-1.54 RPM/s,-2.31 RPM/s
2025-12-17 20:48:17,1.54 RPM/s,-0.77 RPM/s,-1.54 RPM/s
2025-12-17 20:48:19,-1.54 RPM/s,-2.31 RPM/s,-1.54 RPM/s
