"Time","X","Y","Z"
2025-12-17 20:46:21,0 rpm,0 rpm,0 rpm
2025-12-17 20:46:23,200 rpm,-200 rpm,99.9 rpm
2025-12-17 20:46:25,398 rpm,-241 rpm,94.5 rpm
2025-12-17 20:46:27,409 rpm,-433 rpm,75.1 rpm
2025-12-17 20:46:29,239 rpm,-383 rpm,105 rpm
2025-12-17 20:46:31,53.1 rpm,-206 rpm,152 rpm
2025-12-17 20:46:33,66.3 rpm,-69.2 rpm,93.7 rpm
2025-12-17 20:46:35,116 rpm,-102 rpm,-1.56 rpm
2025-12-17 20:46:37,125 rpm,-188 rpm,55 rpm
2025-12-17 20:46:39,77.8 rpm,-159 rpm,55 rpm
2025-12-17 20:46:41,63.9 rpm,-116 rpm,39.5 rpm
2025-12-17 20:46:43,94 rpm,-137 rpm,44.1 rpm
2025-12-17 20:46:45,90.9 rpm,-146 rpm,47.2 rpm
2025-12-17 20:46:47,80.9 rpm,-146 rpm,47.2 rpm
2025-12-17 20:46:49,77.8 rpm,-143 rpm,47.2 rpm
2025-12-17 20:46:51,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:46:53,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:46:55,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:46:57,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:46:59,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:01,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:03,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:05,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:07,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:09,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:11,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:13,84 rpm,-143 rpm,50.3 rpm
2025-12-17 20:47:15,84 rpm,-143 rpm,50.3 rpm
2025-12-17 20:47:17,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:19,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:21,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:23,84 rpm,-143 rpm,47.2 rpm
2025-12-17 20:47:25,84 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:27,80.9 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:29,80.9 rpm,-143 rpm,48 rpm
2025-12-17 20:47:31,80.9 rpm,-143 rpm,48 rpm
2025-12-17 20:47:33,80.9 rpm,-143 rpm,48 rpm
2025-12-17 20:47:35,80.9 rpm,-143 rpm,48 rpm
2025-12-17 20:47:37,84.8 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:39,84.8 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:41,84.8 rpm,-143 rpm,48 rpm
2025-12-17 20:47:43,84.8 rpm,-143 rpm,48 rpm
2025-12-17 20:47:45,84.8 rpm,-143 rpm,48 rpm
2025-12-17 20:47:47,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:49,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:51,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:53,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:55,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:47:57,81.7 rpm,-143 rpm,48 rpm
2025-12-17 20:47:59,81.7 rpm,-147 rpm,48 rpm
2025-12-17 20:48:01,81.7 rpm,-150 rpm,51.1 rpm
2025-12-17 20:48:03,81.7 rpm,-150 rpm,51.1 rpm
2025-12-17 20:48:05,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:07,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:09,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:11,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:13,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:15,81.7 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:17,84.8 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:19,84.8 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:21,84.8 rpm,-143 rpm,51.1 rpm
2025-12-17 20:48:23,-71 rpm,-343 rpm,-83.7 rpm
2025-12-17 20:48:25,129 rpm,-544 rpm,-3.83 rpm
2025-12-17 20:48:27,-71 rpm,-744 rpm,-25.4 rpm
2025-12-17 20:48:29,-8.59 rpm,-944 rpm,-89.5 rpm
2025-12-17 20:48:31,-209 rpm,-1.06e+03 rpm,-157 rpm
2025-12-17 20:48:33,-409 rpm,-1.09e+03 rpm,-224 rpm
2025-12-17 20:48:35,-609 rpm,-887 rpm,-256 rpm
2025-12-17 20:48:37,-575 rpm,-686 rpm,-223 rpm
2025-12-17 20:48:39,-737 rpm,-486 rpm,-159 rpm
2025-12-17 20:48:41,-537 rpm,-286 rpm,-163 rpm
2025-12-17 20:48:43,-337 rpm,-85.8 rpm,-179 rpm
2025-12-17 20:48:45,-136 rpm,115 rpm,-159 rpm
2025-12-17 20:48:47,64 rpm,252 rpm,-142 rpm
2025-12-17 20:48:49,182 rpm,179 rpm,-95.8 rpm
2025-12-17 20:48:51,66.3 rpm,192 rpm,-66.3 rpm
2025-12-17 20:48:53,-30.9 rpm,284 rpm,-29.9 rpm
2025-12-17 20:48:55,35.4 rpm,266 rpm,-117 rpm
2025-12-17 20:48:57,85.5 rpm,114 rpm,-158 rpm
2025-12-17 20:48:59,67.7 rpm,50.4 rpm,-117 rpm
2025-12-17 20:49:01,23 rpm,95.9 rpm,-139 rpm
2025-12-17 20:49:03,38.5 rpm,99 rpm,-133 rpm
2025-12-17 20:49:05,57.7 rpm,78.2 rpm,-128 rpm
2025-12-17 20:49:07,51.6 rpm,72 rpm,-128 rpm
2025-12-17 20:49:09,44.6 rpm,75.1 rpm,-128 rpm
2025-12-17 20:49:11,44.6 rpm,75.1 rpm,-128 rpm
2025-12-17 20:49:13,44.6 rpm,75.1 rpm,-125 rpm
2025-12-17 20:49:15,44.6 rpm,75.1 rpm,-125 rpm
2025-12-17 20:49:17,47.7 rpm,75.1 rpm,-125 rpm
2025-12-17 20:49:19,47.7 rpm,75.1 rpm,-122 rpm
2025-12-17 20:49:21,47.7 rpm,75.1 rpm,-122 rpm
2025-12-17 20:49:23,47.7 rpm,75.1 rpm,-122 rpm
2025-12-17 20:49:25,47.7 rpm,75.1 rpm,-122 rpm
2025-12-17 20:49:27,47.7 rpm,75.1 rpm,-118 rpm
2025-12-17 20:49:29,47.7 rpm,75.1 rpm,-118 rpm
2025-12-17 20:49:31,47.7 rpm,75.1 rpm,-118 rpm
2025-12-17 20:49:33,47.7 rpm,75.1 rpm,-118 rpm
2025-12-17 20:49:35,44.6 rpm,71.3 rpm,-118 rpm
2025-12-17 20:49:37,44.6 rpm,71.3 rpm,-118 rpm
2025-12-17 20:49:39,44.6 rpm,68.2 rpm,-114 rpm
2025-12-17 20:49:41,44.6 rpm,68.2 rpm,-114 rpm
2025-12-17 20:49:43,44.6 rpm,68.2 rpm,-115 rpm
2025-12-17 20:49:45,44.6 rpm,68.2 rpm,-111 rpm
2025-12-17 20:49:47,44.6 rpm,68.2 rpm,-111 rpm
2025-12-17 20:49:49,44.6 rpm,68.2 rpm,-111 rpm
2025-12-17 20:49:51,47.7 rpm,71.3 rpm,-111 rpm
2025-12-17 20:49:53,47.7 rpm,71.3 rpm,-111 rpm
2025-12-17 20:49:55,47.7 rpm,71.3 rpm,-108 rpm
2025-12-17 20:49:57,44.6 rpm,71.3 rpm,-108 rpm
2025-12-17 20:49:59,44.6 rpm,68.2 rpm,-108 rpm
