"Time","X","Y","Z"
2025-12-17 20:46:21,-0.974 °/s,0.917 °/s,-1.46 °/s
2025-12-17 20:46:23,0.619 °/s,-0.677 °/s,2.05 °/s
2025-12-17 20:46:25,2.27 °/s,-0.96 °/s,1.77 °/s
2025-12-17 20:46:27,2.38 °/s,-2.53 °/s,0.951 °/s
2025-12-17 20:46:29,1.04 °/s,-2.08 °/s,2.04 °/s
2025-12-17 20:46:31,-0.362 °/s,-0.581 °/s,3.78 °/s
2025-12-17 20:46:33,-0.125 °/s,0.595 °/s,1.8 °/s
2025-12-17 20:46:35,0.255 °/s,0.341 °/s,-1.59 °/s
2025-12-17 20:46:37,0.315 °/s,-0.374 °/s,0.318 °/s
2025-12-17 20:46:39,-0.0559 °/s,-0.141 °/s,0.336 °/s
2025-12-17 20:46:41,-0.184 °/s,0.222 °/s,-0.177 °/s
2025-12-17 20:46:43,0.0653 °/s,0.0241 °/s,-0.0645 °/s
2025-12-17 20:46:45,0.0395 °/s,-0.0492 °/s,0.0537 °/s
2025-12-17 20:46:47,-0.00637 °/s,-0.0359 °/s,0.0522 °/s
2025-12-17 20:46:49,-0.0454 °/s,0.00274 °/s,0.065 °/s
2025-12-17 20:46:51,0.008 °/s,-0.00995 °/s,0.0476 °/s
2025-12-17 20:46:53,0.0117 °/s,-0.0226 °/s,0.0492 °/s
2025-12-17 20:46:55,0.00647 °/s,-0.00637 °/s,0.0487 °/s
2025-12-17 20:46:57,0.0124 °/s,-0.00112 °/s,0.0324 °/s
2025-12-17 20:46:59,-0.0139 °/s,-0.0345 °/s,0.0298 °/s
2025-12-17 20:47:01,0.011 °/s,-0.00197 °/s,0.0421 °/s
2025-12-17 20:47:03,-0.0109 °/s,-0.0276 °/s,0.023 °/s
2025-12-17 20:47:05,0.0109 °/s,-0.0128 °/s,0.0237 °/s
2025-12-17 20:47:07,-0.0261 °/s,0.00877 °/s,0.0282 °/s
2025-12-17 20:47:09,-0.00138 °/s,-0.0202 °/s,0.0377 °/s
2025-12-17 20:47:11,-0.00894 °/s,-0.00455 °/s,0.0191 °/s
2025-12-17 20:47:13,0.006 °/s,0.00068 °/s,0.13 °/s
2025-12-17 20:47:15,-0.0128 °/s,-0.00793 °/s,0.15 °/s
2025-12-17 20:47:17,-0.00816 °/s,-0.0218 °/s,0.0119 °/s
2025-12-17 20:47:19,0.0143 °/s,-0.00713 °/s,-0.00589 °/s
2025-12-17 20:47:21,0.00546 °/s,-0.0182 °/s,-0.00122 °/s
2025-12-17 20:47:23,0.0159 °/s,-0.0209 °/s,-0.0175 °/s
2025-12-17 20:47:25,-0.00531 °/s,-0.00386 °/s,0.129 °/s
2025-12-17 20:47:27,-0.032 °/s,-0.0152 °/s,0.137 °/s
2025-12-17 20:47:29,-0.011 °/s,-0.00083 °/s,-0.00586 °/s
2025-12-17 20:47:31,-0.0167 °/s,-0.00959 °/s,0.0161 °/s
2025-12-17 20:47:33,-0.0308 °/s,-0.00355 °/s,0.00275 °/s
2025-12-17 20:47:35,-0.0244 °/s,-0.00048 °/s,0.00929 °/s
2025-12-17 20:47:37,0.0189 °/s,0.00535 °/s,0.0846 °/s
2025-12-17 20:47:39,-0.0103 °/s,-0.00645 °/s,0.115 °/s
2025-12-17 20:47:41,0.00296 °/s,-0.00929 °/s,-0.0146 °/s
2025-12-17 20:47:43,-0.0154 °/s,-0.00023 °/s,-0.046 °/s
2025-12-17 20:47:45,0.0335 °/s,-0.00918 °/s,-0.0213 °/s
2025-12-17 20:47:47,-0.0201 °/s,-0.0123 °/s,0.0928 °/s
2025-12-17 20:47:49,-0.0202 °/s,-0.00476 °/s,0.0844 °/s
2025-12-17 20:47:51,0.00016 °/s,-0.00851 °/s,0.0864 °/s
2025-12-17 20:47:53,-0.0396 °/s,-0.0124 °/s,0.0779 °/s
2025-12-17 20:47:55,0.00904 °/s,0.00738 °/s,0.0622 °/s
2025-12-17 20:47:57,-0.0123 °/s,-0.0061 °/s,-0.0457 °/s
2025-12-17 20:47:59,-0.00749 °/s,-0.0305 °/s,-0.0263 °/s
2025-12-17 20:48:01,-0.0166 °/s,-0.0551 °/s,0.0719 °/s
2025-12-17 20:48:03,0.00465 °/s,-0.0658 °/s,0.0615 °/s
2025-12-17 20:48:05,-0.0155 °/s,0.00105 °/s,0.0655 °/s
2025-12-17 20:48:07,-0.011 °/s,-0.0146 °/s,0.0718 °/s
2025-12-17 20:48:09,-0.00384 °/s,-0.0118 °/s,0.0866 °/s
2025-12-17 20:48:11,0.0147 °/s,0.00385 °/s,0.0537 °/s
2025-12-17 20:48:13,-0.0101 °/s,-0.00625 °/s,0.0705 °/s
2025-12-17 20:48:15,-0.0187 °/s,0.0178 °/s,0.0417 °/s
2025-12-17 20:48:17,0.0321 °/s,0.0144 °/s,0.0282 °/s
2025-12-17 20:48:19,-0.00414 °/s,-0.0093 °/s,0.0371 °/s
2025-12-17 20:48:21,0.025 °/s,0.00662 °/s,0.0376 °/s
2025-12-17 20:48:23,-1.33 °/s,-1.69 °/s,-4.54 °/s
2025-12-17 20:48:25,0.114 °/s,-3.36 °/s,-1.35 °/s
2025-12-17 20:48:27,-1.55 °/s,-5.01 °/s,-1.44 °/s
